State,Action,Count
"(1, 2.0, 1.0, 3.0)",1.0,12
"(1, 2.0, 1.0, 2.0)",1.0,9
"(1, 2.0, 2.0, 3.0)",1.0,4
"(1, 2.0, 0.0, 3.0)",2.0,2
