State,Action,Q-Value
"(1.0, 0.0, 0.0)",2.0,0.08346998400000001
"(1.0, 0.0, 0.0)",1.0,0.23723437786405654
"(1.0, 0.0, 0.0)",4.0,0.000662175
"(1.0, 0.0, 0.0)",3.0,0.045
"(1.0, 0.0, 0.0)",0.0,0.00162
"(1.0, 0.0, 1.0)",1.0,0.33807633333333337
"(1.0, 0.0, 1.0)",2.0,0.01062
"(1.0, 0.0, 1.0)",4.0,0.3
"(1.0, 0.0, 2.0)",0.0,0.061619999999999994
"(1.0, 0.0, 2.0)",2.0,0.09069461542940001
"(1.0, 0.0, 2.0)",3.0,0.0800032805
"(1.0, 0.0, 2.0)",4.0,0.13000059049
"(1.0, 0.0, 2.0)",1.0,0.0
"(1.0, 0.0, 3.0)",2.0,0.12702
"(1.0, 0.0, 3.0)",0.0,0.012857142857142857
"(1.0, 0.0, 3.0)",1.0,0.3433277508333334
"(1.0, 0.0, 3.0)",3.0,0.030242999999999996
"(1.0, 0.0, 3.0)",4.0,0.0
"(1.0, 0.0, 4.0)",4.0,0.004052952449999999
"(1.0, 0.0, 4.0)",1.0,0.3333333333333333
"(1.0, 0.0, 4.0)",0.0,0.3
"(1.0, 1.0, 0.0)",1.0,0.5
"(1.0, 1.0, 0.0)",0.0,0.0
"(1.0, 1.0, 0.0)",2.0,0.016369823076923074
"(1.0, 1.0, 0.0)",3.0,0.165525
"(1.0, 1.0, 2.0)",0.0,0.0
"(1.0, 1.0, 2.0)",1.0,0.15981234428371213
"(1.0, 1.0, 2.0)",4.0,0.03786451959160002
"(1.0, 1.0, 2.0)",2.0,0.06457239154877874
"(1.0, 1.0, 2.0)",3.0,0.02363748801278261
"(1.0, 1.0, 3.0)",3.0,0.09482357142857142
"(1.0, 1.0, 3.0)",1.0,0.3027021830525758
"(1.0, 1.0, 3.0)",4.0,0.08704200000000001
"(1.0, 1.0, 3.0)",2.0,0.008165571428571428
"(1.0, 1.0, 3.0)",0.0,0.0
"(1.0, 1.0, 4.0)",4.0,0.06899999999999999
"(1.0, 1.0, 4.0)",1.0,0.0135098415
"(1.0, 1.0, 4.0)",2.0,0.22714285714285715
"(1.0, 1.0, 4.0)",3.0,0.3
"(1.0, 2.0, 0.0)",1.0,1.0
"(1.0, 2.0, 0.0)",4.0,0.027
"(1.0, 2.0, 0.0)",2.0,0.15
"(1.0, 2.0, 0.0)",0.0,1.0
"(1.0, 2.0, 3.0)",0.0,1.0
"(1.0, 2.0, 3.0)",1.0,1.0
"(1.0, 2.0, 3.0)",2.0,0.2475
"(1.0, 2.0, 3.0)",4.0,0.15
"(1.0, 2.0, 3.0)",3.0,0.187125
"(1.0, 2.0, 4.0)",0.0,1.0
"(1.0, 2.0, 4.0)",3.0,0.0
"(1.0, 3.0, 0.0)",4.0,0.6
"(1.0, 3.0, 0.0)",0.0,2.0
"(1.0, 3.0, 3.0)",4.0,0.6
"(1.0, 3.0, 3.0)",1.0,2.0
"(1.0, 3.0, 4.0)",1.0,2.0
"(2.0, 0.0, 0.0)",1.0,0.0
"(2.0, 0.0, 0.0)",4.0,0.030243
"(2.0, 0.0, 0.0)",2.0,0.06
"(2.0, 0.0, 0.0)",0.0,0.0135
"(2.0, 0.0, 0.0)",3.0,0.0
"(2.0, 0.0, 1.0)",1.0,0.0
"(2.0, 0.0, 1.0)",3.0,0.0
"(2.0, 0.0, 1.0)",0.0,0.0
"(2.0, 0.0, 1.0)",2.0,0.0
"(2.0, 0.0, 2.0)",2.0,0.011250000000035303
"(2.0, 0.0, 2.0)",3.0,0.0
"(2.0, 0.0, 2.0)",4.0,2.2029503845517984e-14
"(2.0, 0.0, 2.0)",0.0,1.0893710692838563e-15
"(2.0, 0.0, 2.0)",1.0,0.0
"(2.0, 0.0, 3.0)",2.0,0.0
"(2.0, 0.0, 3.0)",3.0,0.04285714285714286
"(2.0, 0.0, 3.0)",1.0,0.16666666666666666
"(2.0, 0.0, 3.0)",0.0,0.0
"(2.0, 0.0, 3.0)",4.0,0.0
"(2.0, 0.0, 4.0)",0.0,0.0
"(2.0, 0.0, 4.0)",1.0,0.0
"(2.0, 0.0, 4.0)",2.0,0.0
"(2.0, 0.0, 4.0)",4.0,0.0
"(2.0, 0.0, 4.0)",3.0,0.0
"(2.0, 0.0, 6.0)",3.0,0.0
"(2.0, 0.0, 6.0)",0.0,0.0
"(2.0, 0.0, 6.0)",4.0,0.0081
"(2.0, 1.0, 0.0)",3.0,1.3044460909090902e-09
"(2.0, 1.0, 0.0)",1.0,0.0
"(2.0, 1.0, 0.0)",0.0,0.0
"(2.0, 1.0, 0.0)",4.0,0.0
"(2.0, 1.0, 0.0)",2.0,0.0
"(2.0, 1.0, 2.0)",4.0,0.0047373947886966946
"(2.0, 1.0, 2.0)",2.0,0.0010967611099301049
"(2.0, 1.0, 2.0)",0.0,0.00022520592940909092
"(2.0, 1.0, 2.0)",1.0,0.015592814837419998
"(2.0, 1.0, 2.0)",3.0,0.00010143243243243243
"(2.0, 1.0, 3.0)",1.0,0.02239778910388682
"(2.0, 1.0, 3.0)",0.0,3.6234613636363626e-09
"(2.0, 1.0, 3.0)",4.0,0.002142857142857143
"(2.0, 1.0, 3.0)",2.0,0.005454903357853822
"(2.0, 1.0, 3.0)",3.0,1.042041176470588e-08
"(2.0, 1.0, 4.0)",1.0,0.003913045557812608
"(2.0, 1.0, 4.0)",4.0,0.0
"(2.0, 1.0, 4.0)",3.0,0.0
"(2.0, 1.0, 4.0)",2.0,0.0
"(2.0, 1.0, 4.0)",0.0,0.0
"(2.0, 1.0, 6.0)",0.0,0.0
"(2.0, 1.0, 6.0)",4.0,0.0
"(2.0, 1.0, 6.0)",3.0,0.0
"(2.0, 1.0, 6.0)",2.0,0.046714285714285715
"(2.0, 1.0, 6.0)",1.0,0.075
"(2.0, 2.0, 0.0)",2.0,0.0
"(2.0, 2.0, 0.0)",4.0,0.0
"(2.0, 2.0, 0.0)",1.0,0.0
"(2.0, 2.0, 0.0)",3.0,0.0
"(2.0, 2.0, 0.0)",0.0,0.0
"(2.0, 2.0, 3.0)",4.0,1.562142857142857e-05
"(2.0, 2.0, 3.0)",3.0,4.11864406779661e-05
"(2.0, 2.0, 3.0)",0.0,0.0
"(2.0, 2.0, 3.0)",2.0,0.0
"(2.0, 2.0, 3.0)",1.0,0.0
"(2.0, 2.0, 4.0)",2.0,0.0
"(2.0, 2.0, 4.0)",0.0,0.0
"(2.0, 2.0, 4.0)",3.0,0.0043875
"(2.0, 2.0, 4.0)",1.0,0.0
"(2.0, 2.0, 4.0)",4.0,0.0
"(2.0, 2.0, 6.0)",1.0,0.2
"(2.0, 2.0, 6.0)",2.0,0.00036449999999999997
"(2.0, 2.0, 6.0)",0.0,0.0
"(2.0, 2.0, 6.0)",3.0,0.0
"(2.0, 3.0, 0.0)",1.0,1.0
"(2.0, 3.0, 4.0)",1.0,1.0
"(3.0, 0.0, 0.0)",0.0,0.0
"(3.0, 0.0, 0.0)",4.0,0.0
"(3.0, 0.0, 0.0)",3.0,0.0
"(3.0, 0.0, 0.0)",1.0,0.0
"(3.0, 0.0, 1.0)",3.0,0.0
"(3.0, 0.0, 1.0)",1.0,0.0
"(3.0, 0.0, 2.0)",2.0,0.0
"(3.0, 0.0, 2.0)",3.0,0.0
"(3.0, 0.0, 3.0)",1.0,0.0
"(3.0, 0.0, 3.0)",0.0,0.0
"(3.0, 0.0, 3.0)",2.0,0.0
"(3.0, 0.0, 3.0)",3.0,0.0
"(3.0, 0.0, 4.0)",0.0,0.0
"(3.0, 0.0, 4.0)",1.0,0.0
"(3.0, 0.0, 6.0)",1.0,0.0
"(3.0, 0.0, 6.0)",2.0,0.0
"(3.0, 0.0, 6.0)",0.0,0.0
"(3.0, 1.0, 0.0)",2.0,0.0
"(3.0, 1.0, 0.0)",0.0,0.0
"(3.0, 1.0, 0.0)",3.0,0.0
"(3.0, 1.0, 0.0)",4.0,0.0
"(3.0, 1.0, 2.0)",2.0,0.0
"(3.0, 1.0, 2.0)",1.0,0.0
"(3.0, 1.0, 2.0)",0.0,0.0
"(3.0, 1.0, 2.0)",4.0,0.0
"(3.0, 1.0, 2.0)",3.0,0.0
"(3.0, 1.0, 3.0)",4.0,0.0
"(3.0, 1.0, 3.0)",2.0,0.0
"(3.0, 1.0, 3.0)",0.0,0.0
"(3.0, 1.0, 3.0)",1.0,0.0
"(3.0, 1.0, 3.0)",3.0,0.0
"(3.0, 1.0, 4.0)",3.0,0.0
"(3.0, 1.0, 4.0)",0.0,0.0
"(3.0, 1.0, 4.0)",1.0,0.0
"(3.0, 1.0, 4.0)",2.0,0.0
"(3.0, 1.0, 4.0)",4.0,0.0
"(3.0, 1.0, 6.0)",4.0,0.0
"(3.0, 1.0, 6.0)",2.0,0.0
"(3.0, 1.0, 6.0)",3.0,0.0
"(3.0, 1.0, 6.0)",0.0,0.0
"(3.0, 1.0, 7.0)",4.0,0.0
"(3.0, 1.0, 7.0)",2.0,0.0
"(3.0, 1.0, 7.0)",0.0,0.0
"(3.0, 1.0, 7.0)",3.0,0.0
"(3.0, 1.0, 7.0)",1.0,0.0
"(3.0, 2.0, 3.0)",2.0,0.0
"(3.0, 2.0, 3.0)",0.0,0.0
"(3.0, 2.0, 3.0)",4.0,0.0
"(3.0, 2.0, 3.0)",1.0,0.0
"(3.0, 2.0, 4.0)",1.0,0.0
"(3.0, 2.0, 4.0)",4.0,0.0
"(3.0, 2.0, 4.0)",3.0,0.0
"(3.0, 2.0, 4.0)",0.0,0.0
"(3.0, 2.0, 6.0)",2.0,0.0
"(3.0, 2.0, 6.0)",3.0,0.0
"(3.0, 2.0, 7.0)",2.0,0.0
"(3.0, 2.0, 7.0)",0.0,0.0
"(3.0, 2.0, 7.0)",1.0,0.0
"(3.0, 3.0, 3.0)",1.0,0.0
