State,Action,Q-Value
"(1, 1.0, 0.0, 0.0)",3.0,0.075054675
"(1, 1.0, 0.0, 0.0)",1.0,0.32414407368421044
"(1, 1.0, 0.0, 0.0)",0.0,0.0
"(1, 1.0, 0.0, 0.0)",2.0,1.7714699999999997e-06
"(1, 1.0, 0.0, 0.0)",4.0,0.027
"(1, 1.0, 0.0, 1.0)",2.0,0.00036449999999999997
"(1, 1.0, 0.0, 1.0)",3.0,0.026604675
"(1, 1.0, 0.0, 2.0)",1.0,0.5515441449999999
"(1, 1.0, 0.0, 2.0)",0.0,0.0006075
"(1, 1.0, 0.0, 2.0)",2.0,0.0
"(1, 1.0, 0.0, 2.0)",3.0,0.0135
"(1, 1.0, 0.0, 2.0)",4.0,0.1635
"(1, 1.0, 0.0, 3.0)",1.0,0.17712573811250001
"(1, 1.0, 0.0, 3.0)",2.0,0.00243
"(1, 1.0, 0.0, 3.0)",0.0,0.0
"(1, 1.0, 0.0, 4.0)",4.0,0.09
"(1, 1.0, 0.0, 4.0)",1.0,0.09
"(1, 1.0, 1.0, 0.0)",1.0,0.16607174605882358
"(1, 1.0, 1.0, 0.0)",3.0,0.009
"(1, 1.0, 1.0, 0.0)",2.0,0.0135
"(1, 1.0, 1.0, 0.0)",4.0,0.0
"(1, 1.0, 1.0, 2.0)",3.0,0.06206582457628124
"(1, 1.0, 1.0, 2.0)",4.0,0.06568815388888888
"(1, 1.0, 1.0, 2.0)",2.0,0.0416831712164151
"(1, 1.0, 1.0, 2.0)",1.0,0.16503288115399542
"(1, 1.0, 1.0, 2.0)",0.0,0.0
"(1, 1.0, 1.0, 3.0)",1.0,0.2354894765802469
"(1, 1.0, 1.0, 3.0)",2.0,0.05581842857142857
"(1, 1.0, 1.0, 3.0)",3.0,0.05151
"(1, 1.0, 1.0, 3.0)",4.0,0.057072899999999996
"(1, 1.0, 1.0, 3.0)",0.0,0.0
"(1, 1.0, 1.0, 4.0)",3.0,0.10040500000000001
"(1, 1.0, 2.0, 0.0)",1.0,1.0
"(1, 1.0, 2.0, 0.0)",0.0,1.0
"(1, 1.0, 2.0, 0.0)",3.0,0.3
"(1, 1.0, 2.0, 0.0)",2.0,0.3
"(1, 1.0, 2.0, 3.0)",0.0,1.0
"(1, 1.0, 2.0, 3.0)",1.0,1.0
"(1, 1.0, 2.0, 3.0)",3.0,0.09999999999999999
"(1, 1.0, 2.0, 3.0)",4.0,0.0
"(1, 1.0, 2.0, 3.0)",2.0,0.3
"(1, 2.0, 0.0, 0.0)",2.0,0.013396764878464005
"(1, 2.0, 0.0, 0.0)",3.0,0.09999999999999999
"(1, 2.0, 0.0, 0.0)",0.0,0.0
"(1, 2.0, 0.0, 1.0)",1.0,0.0
"(1, 2.0, 0.0, 1.0)",3.0,0.0
"(1, 2.0, 0.0, 1.0)",4.0,0.0
"(1, 2.0, 0.0, 1.0)",0.0,0.0
"(1, 2.0, 0.0, 1.0)",2.0,0.0
"(1, 2.0, 0.0, 2.0)",0.0,0.0
"(1, 2.0, 0.0, 2.0)",2.0,0.0
"(1, 2.0, 0.0, 2.0)",3.0,0.0
"(1, 2.0, 0.0, 2.0)",1.0,0.0
"(1, 2.0, 0.0, 2.0)",4.0,0.0
"(1, 2.0, 0.0, 3.0)",1.0,0.021440241583333335
"(1, 2.0, 0.0, 3.0)",3.0,0.018000354293999998
"(1, 2.0, 0.0, 3.0)",0.0,0.0
"(1, 2.0, 0.0, 3.0)",2.0,0.03
"(1, 2.0, 0.0, 3.0)",4.0,0.03
"(1, 2.0, 0.0, 4.0)",1.0,0.08333333333333333
"(1, 2.0, 0.0, 4.0)",0.0,0.0
"(1, 2.0, 0.0, 4.0)",2.0,2.6572049999999993e-07
"(1, 2.0, 0.0, 4.0)",3.0,0.0
"(1, 2.0, 0.0, 6.0)",3.0,0.0
"(1, 2.0, 0.0, 6.0)",1.0,0.5
"(1, 2.0, 0.0, 6.0)",2.0,0.0
"(1, 2.0, 0.0, 6.0)",0.0,0.0
"(1, 2.0, 1.0, 0.0)",0.0,0.0
"(1, 2.0, 1.0, 0.0)",3.0,0.011546873076923076
"(1, 2.0, 1.0, 0.0)",1.0,0.0
"(1, 2.0, 1.0, 0.0)",2.0,0.0
"(1, 2.0, 1.0, 0.0)",4.0,0.0
"(1, 2.0, 1.0, 2.0)",3.0,0.0013364917147528942
"(1, 2.0, 1.0, 2.0)",1.0,0.011791891150442478
"(1, 2.0, 1.0, 2.0)",0.0,3.8354392070484575e-07
"(1, 2.0, 1.0, 2.0)",2.0,0.0004042232528384279
"(1, 2.0, 1.0, 2.0)",4.0,0.0007756666666666666
"(1, 2.0, 1.0, 3.0)",1.0,0.00699362772516141
"(1, 2.0, 1.0, 3.0)",4.0,0.0001636530612244898
"(1, 2.0, 1.0, 3.0)",2.0,0.004312500996451875
"(1, 2.0, 1.0, 3.0)",0.0,0.006290322580645161
"(1, 2.0, 1.0, 3.0)",3.0,0.0031846153846153843
"(1, 2.0, 1.0, 4.0)",3.0,0.0
"(1, 2.0, 1.0, 4.0)",1.0,0.07338621719268294
"(1, 2.0, 1.0, 4.0)",0.0,0.0
"(1, 2.0, 1.0, 4.0)",2.0,0.0
"(1, 2.0, 1.0, 4.0)",4.0,0.0
"(1, 2.0, 1.0, 6.0)",1.0,0.0004764705882352941
"(1, 2.0, 1.0, 6.0)",4.0,0.0
"(1, 2.0, 1.0, 6.0)",0.0,0.03
"(1, 2.0, 1.0, 6.0)",3.0,0.0
"(1, 2.0, 2.0, 0.0)",3.0,5.9787112499999974e-09
"(1, 2.0, 2.0, 0.0)",2.0,0.0
"(1, 2.0, 2.0, 3.0)",2.0,0.0
"(1, 2.0, 2.0, 3.0)",1.0,2.8025648490566038e-06
"(1, 2.0, 2.0, 3.0)",4.0,3.6449999999999994e-06
"(1, 2.0, 2.0, 3.0)",0.0,0.0
"(1, 2.0, 2.0, 3.0)",3.0,8.557826086956521e-07
"(1, 2.0, 2.0, 4.0)",3.0,0.015000007971614998
"(1, 2.0, 2.0, 4.0)",4.0,0.0
"(1, 2.0, 2.0, 4.0)",0.0,0.0
"(1, 2.0, 2.0, 4.0)",1.0,0.0
"(1, 2.0, 2.0, 6.0)",0.0,0.0
"(1, 2.0, 2.0, 6.0)",3.0,0.0
"(1, 2.0, 2.0, 6.0)",2.0,0.0
"(1, 2.0, 2.0, 6.0)",1.0,0.0
"(1, 2.0, 3.0, 0.0)",1.0,1.0
"(1, 2.0, 3.0, 3.0)",2.0,0.0
"(1, 2.0, 3.0, 3.0)",0.0,1.0
"(1, 2.0, 3.0, 4.0)",4.0,0.3
"(1, 2.0, 3.0, 4.0)",3.0,0.0
"(1, 2.0, 3.0, 6.0)",3.0,0.0
"(1, 2.0, 3.0, 6.0)",1.0,1.0
"(1, 3.0, 0.0, 0.0)",2.0,0.0
"(1, 3.0, 0.0, 0.0)",1.0,0.0
"(1, 3.0, 0.0, 0.0)",4.0,0.0
"(1, 3.0, 0.0, 2.0)",4.0,0.0
"(1, 3.0, 0.0, 3.0)",2.0,0.0
"(1, 3.0, 0.0, 3.0)",1.0,0.0
"(1, 3.0, 0.0, 3.0)",0.0,0.0
"(1, 3.0, 0.0, 3.0)",4.0,0.0
"(1, 3.0, 0.0, 4.0)",4.0,0.0
"(1, 3.0, 0.0, 4.0)",1.0,0.0
"(1, 3.0, 0.0, 4.0)",0.0,0.0
"(1, 3.0, 0.0, 4.0)",2.0,0.0
"(1, 3.0, 0.0, 7.0)",1.0,0.0
"(1, 3.0, 1.0, 0.0)",0.0,0.0
"(1, 3.0, 1.0, 0.0)",1.0,0.0
"(1, 3.0, 1.0, 0.0)",2.0,0.0
"(1, 3.0, 1.0, 2.0)",4.0,0.0
"(1, 3.0, 1.0, 2.0)",0.0,0.0
"(1, 3.0, 1.0, 2.0)",2.0,0.0
"(1, 3.0, 1.0, 2.0)",1.0,0.0
"(1, 3.0, 1.0, 2.0)",3.0,0.0
"(1, 3.0, 1.0, 3.0)",0.0,0.0
"(1, 3.0, 1.0, 3.0)",4.0,0.0
"(1, 3.0, 1.0, 3.0)",1.0,0.0
"(1, 3.0, 1.0, 3.0)",2.0,0.0
"(1, 3.0, 1.0, 3.0)",3.0,0.0
"(1, 3.0, 1.0, 4.0)",3.0,0.0
"(1, 3.0, 1.0, 4.0)",1.0,0.0
"(1, 3.0, 1.0, 4.0)",0.0,0.0
"(1, 3.0, 1.0, 4.0)",4.0,0.0
"(1, 3.0, 1.0, 4.0)",2.0,0.0
"(1, 3.0, 1.0, 6.0)",0.0,0.0
"(1, 3.0, 1.0, 6.0)",1.0,0.0
"(1, 3.0, 1.0, 6.0)",2.0,0.0
"(1, 3.0, 1.0, 6.0)",4.0,0.0
"(1, 3.0, 1.0, 7.0)",1.0,0.0
"(1, 3.0, 1.0, 7.0)",4.0,0.0
"(1, 3.0, 1.0, 7.0)",3.0,0.0
"(1, 3.0, 1.0, 7.0)",0.0,0.0
"(1, 3.0, 1.0, 7.0)",2.0,0.0
"(1, 3.0, 2.0, 0.0)",2.0,0.0
"(1, 3.0, 2.0, 0.0)",0.0,0.0
"(1, 3.0, 2.0, 0.0)",4.0,0.0
"(1, 3.0, 2.0, 0.0)",3.0,0.0
"(1, 3.0, 2.0, 3.0)",0.0,0.0
"(1, 3.0, 2.0, 3.0)",4.0,0.0
