State,Action,Q-Value
"(1.0, 0.0, 0.0)",2.0,0.12429508714285713
"(1.0, 0.0, 0.0)",1.0,0.027
"(1.0, 0.0, 0.0)",4.0,0.3
"(1.0, 0.0, 0.0)",3.0,0.13
"(1.0, 0.0, 1.0)",0.0,0.0
"(1.0, 0.0, 1.0)",2.0,0.3
"(1.0, 0.0, 2.0)",4.0,0.09
"(1.0, 0.0, 2.0)",1.0,0.25018225
"(1.0, 0.0, 2.0)",2.0,0.0756075
"(1.0, 0.0, 2.0)",3.0,0.0
"(1.0, 0.0, 3.0)",1.0,0.5409023375
"(1.0, 0.0, 3.0)",0.0,0.0
"(1.0, 0.0, 3.0)",4.0,0.0135
"(1.0, 0.0, 3.0)",3.0,0.0081
"(1.0, 0.0, 4.0)",1.0,0.5
"(1.0, 1.0, 0.0)",4.0,0.039
"(1.0, 1.0, 0.0)",3.0,0.0054
"(1.0, 1.0, 0.0)",1.0,0.256751476225
"(1.0, 1.0, 0.0)",2.0,0.00081
"(1.0, 1.0, 0.0)",0.0,0.0
"(1.0, 1.0, 2.0)",2.0,0.03941357645769231
"(1.0, 1.0, 2.0)",1.0,0.17895238005472
"(1.0, 1.0, 2.0)",4.0,0.037015432558536586
"(1.0, 1.0, 2.0)",3.0,0.03411175368195653
"(1.0, 1.0, 2.0)",0.0,0.0
"(1.0, 1.0, 3.0)",3.0,0.060486
"(1.0, 1.0, 3.0)",1.0,0.1762333510480333
"(1.0, 1.0, 3.0)",2.0,1.7714699999999994e-08
"(1.0, 1.0, 3.0)",0.0,0.0
"(1.0, 1.0, 3.0)",4.0,0.00030375
"(1.0, 1.0, 4.0)",0.0,0.0
"(1.0, 1.0, 4.0)",3.0,0.06
"(1.0, 1.0, 4.0)",1.0,0.0
"(1.0, 1.0, 4.0)",4.0,0.0
"(1.0, 2.0, 0.0)",4.0,0.3
"(1.0, 2.0, 0.0)",1.0,1.0
"(1.0, 2.0, 3.0)",4.0,0.15
"(1.0, 2.0, 3.0)",0.0,1.0
"(1.0, 2.0, 3.0)",3.0,0.15405
"(1.0, 2.0, 3.0)",2.0,0.15
"(1.0, 2.0, 3.0)",1.0,1.0
"(1.0, 2.0, 4.0)",2.0,0.3
"(1.0, 2.0, 4.0)",4.0,0.0
"(1.0, 2.0, 4.0)",1.0,1.0
"(1.0, 3.0, 4.0)",1.0,2.0
"(2.0, 0.0, 0.0)",4.0,4.9207499999999994e-06
"(2.0, 0.0, 0.0)",2.0,0.00010934999999999999
"(2.0, 0.0, 0.0)",0.0,0.0
"(2.0, 0.0, 0.0)",1.0,0.0
"(2.0, 0.0, 1.0)",0.0,0.0
"(2.0, 0.0, 2.0)",1.0,0.0
"(2.0, 0.0, 2.0)",0.0,0.0
"(2.0, 0.0, 2.0)",3.0,0.0
"(2.0, 0.0, 2.0)",2.0,0.0
"(2.0, 0.0, 3.0)",2.0,0.02727272727272727
"(2.0, 0.0, 3.0)",0.0,0.0
"(2.0, 0.0, 3.0)",1.0,0.3335763333333333
"(2.0, 0.0, 3.0)",3.0,0.0
"(2.0, 0.0, 3.0)",4.0,0.00081
"(2.0, 0.0, 4.0)",1.0,0.03
