State,Action,Q-Value
"(1, 1.0, 0.0, 0.0)",2.0,0.058499999999999996
"(1, 1.0, 0.0, 0.0)",1.0,0.44524556249999997
"(1, 1.0, 0.0, 0.0)",3.0,0.0
"(1, 1.0, 0.0, 0.0)",4.0,0.09750492075
"(1, 1.0, 0.0, 0.0)",0.0,0.03
"(1, 1.0, 0.0, 1.0)",2.0,0.0981075
"(1, 1.0, 0.0, 1.0)",1.0,0.0081
"(1, 1.0, 0.0, 1.0)",4.0,0.00021869999999999998
"(1, 1.0, 0.0, 2.0)",1.0,0.3440725105263158
"(1, 1.0, 0.0, 2.0)",0.0,0.0
"(1, 1.0, 0.0, 2.0)",4.0,0.0
"(1, 1.0, 0.0, 2.0)",3.0,0.15
"(1, 1.0, 0.0, 2.0)",2.0,0.09
"(1, 1.0, 0.0, 3.0)",1.0,0.8571428571428571
"(1, 1.0, 0.0, 3.0)",0.0,0.027
"(1, 1.0, 0.0, 4.0)",4.0,0.195
"(1, 1.0, 0.0, 4.0)",3.0,0.3
"(1, 1.0, 0.0, 4.0)",1.0,1.0
"(1, 1.0, 0.0, 4.0)",0.0,6.560999999999999e-05
"(1, 1.0, 1.0, 0.0)",1.0,0.2939281674090909
"(1, 1.0, 1.0, 0.0)",4.0,0.0081
"(1, 1.0, 1.0, 0.0)",2.0,0.0081
"(1, 1.0, 1.0, 0.0)",3.0,0.15
"(1, 1.0, 1.0, 0.0)",0.0,0.0
"(1, 1.0, 1.0, 2.0)",1.0,0.17365909853056585
"(1, 1.0, 1.0, 2.0)",2.0,0.04816225908379245
"(1, 1.0, 1.0, 2.0)",4.0,0.0498085520186404
"(1, 1.0, 1.0, 2.0)",0.0,0.0
"(1, 1.0, 1.0, 2.0)",3.0,0.057960739946687496
"(1, 1.0, 1.0, 3.0)",1.0,0.22735909970175436
"(1, 1.0, 1.0, 3.0)",2.0,0.10425
"(1, 1.0, 1.0, 3.0)",0.0,0.0
"(1, 1.0, 1.0, 3.0)",3.0,0.07962
"(1, 1.0, 1.0, 3.0)",4.0,0.09999999999999999
"(1, 1.0, 1.0, 4.0)",1.0,0.30242857142857144
"(1, 1.0, 1.0, 4.0)",3.0,0.00024299999999999997
"(1, 1.0, 1.0, 4.0)",4.0,0.15
"(1, 1.0, 1.0, 4.0)",0.0,0.0
"(1, 1.0, 2.0, 0.0)",0.0,1.0
"(1, 1.0, 2.0, 0.0)",1.0,1.0
"(1, 1.0, 2.0, 0.0)",2.0,0.3
"(1, 1.0, 2.0, 0.0)",3.0,0.0
"(1, 1.0, 2.0, 3.0)",0.0,1.0
"(1, 1.0, 2.0, 3.0)",1.0,1.0
"(1, 1.0, 2.0, 3.0)",2.0,0.3
"(1, 1.0, 2.0, 3.0)",4.0,0.19999999999999998
"(1, 1.0, 2.0, 3.0)",3.0,0.0
"(1, 1.0, 2.0, 4.0)",1.0,1.0
"(1, 2.0, 0.0, 0.0)",2.0,0.01621578947368421
"(1, 2.0, 0.0, 0.0)",4.0,0.0
"(1, 2.0, 0.0, 0.0)",3.0,0.0
"(1, 2.0, 0.0, 0.0)",1.0,0.0
"(1, 2.0, 0.0, 0.0)",0.0,0.0
"(1, 2.0, 0.0, 1.0)",1.0,0.0
"(1, 2.0, 0.0, 1.0)",3.0,0.0
"(1, 2.0, 0.0, 1.0)",2.0,0.0
"(1, 2.0, 0.0, 2.0)",4.0,0.0
"(1, 2.0, 0.0, 2.0)",0.0,0.0
"(1, 2.0, 0.0, 2.0)",2.0,0.00018224999999999998
"(1, 2.0, 0.0, 2.0)",1.0,0.0
"(1, 2.0, 0.0, 3.0)",2.0,0.0017727272727272726
"(1, 2.0, 0.0, 3.0)",1.0,0.0
"(1, 2.0, 0.0, 3.0)",3.0,0.0
"(1, 2.0, 0.0, 3.0)",4.0,0.0
"(1, 2.0, 0.0, 3.0)",0.0,0.0
"(1, 2.0, 0.0, 4.0)",1.0,0.0
"(1, 2.0, 0.0, 4.0)",3.0,0.0
"(1, 2.0, 0.0, 4.0)",0.0,0.0
"(1, 2.0, 0.0, 6.0)",3.0,0.0
"(1, 2.0, 0.0, 6.0)",2.0,0.0
"(1, 2.0, 1.0, 0.0)",2.0,6.457008149999996e-12
"(1, 2.0, 1.0, 0.0)",4.0,0.0
"(1, 2.0, 1.0, 0.0)",3.0,0.0
"(1, 2.0, 1.0, 0.0)",1.0,0.0
"(1, 2.0, 1.0, 0.0)",0.0,0.0
"(1, 2.0, 1.0, 2.0)",1.0,0.0022875752425834386
"(1, 2.0, 1.0, 2.0)",4.0,1.3313418865979375e-11
"(1, 2.0, 1.0, 2.0)",3.0,0.0
"(1, 2.0, 1.0, 2.0)",0.0,0.0
"(1, 2.0, 1.0, 2.0)",2.0,0.00029032258064516127
"(1, 2.0, 1.0, 3.0)",3.0,0.0019332692307692306
"(1, 2.0, 1.0, 3.0)",0.0,0.001875
"(1, 2.0, 1.0, 3.0)",1.0,0.010382386560117758
"(1, 2.0, 1.0, 3.0)",2.0,0.0027209302325581393
"(1, 2.0, 1.0, 3.0)",4.0,6.567567567567567e-05
"(1, 2.0, 1.0, 4.0)",3.0,0.01288846153846154
"(1, 2.0, 1.0, 4.0)",1.0,0.3333333333333333
"(1, 2.0, 1.0, 4.0)",0.0,0.03
"(1, 2.0, 1.0, 4.0)",2.0,0.0
"(1, 2.0, 1.0, 6.0)",0.0,0.0
"(1, 2.0, 1.0, 6.0)",1.0,0.002025
"(1, 2.0, 1.0, 6.0)",2.0,0.0
"(1, 2.0, 2.0, 0.0)",0.0,0.0
"(1, 2.0, 2.0, 0.0)",2.0,1.968429140163e-06
"(1, 2.0, 2.0, 0.0)",3.0,0.3
"(1, 2.0, 2.0, 0.0)",4.0,0.0
"(1, 2.0, 2.0, 0.0)",1.0,0.0
"(1, 2.0, 2.0, 3.0)",1.0,0.01036909363057325
