State,Action,Q-Value
"(1, 1.0, 0.0, 0.0)",0.0,0.0
"(1, 1.0, 0.0, 0.0)",2.0,1.6207047
"(1, 1.0, 0.0, 0.0)",4.0,0.0
"(1, 1.0, 0.0, 0.0)",1.0,0.09
"(1, 1.0, 0.0, 0.0)",3.0,0.30000000000000004
"(1, 1.0, 0.0, 1.0)",1.0,1.0
"(1, 1.0, 0.0, 1.0)",3.0,0.027
"(1, 1.0, 0.0, 2.0)",0.0,0.03
"(1, 1.0, 0.0, 2.0)",2.0,0.0
"(1, 1.0, 0.0, 2.0)",4.0,0.0
"(1, 1.0, 0.0, 2.0)",1.0,0.1
"(1, 1.0, 0.0, 2.0)",3.0,0.0
"(1, 1.0, 0.0, 3.0)",3.0,0.7595099999999999
"(1, 1.0, 0.0, 3.0)",0.0,0.0081
"(1, 1.0, 0.0, 3.0)",2.0,0.0
"(1, 1.0, 0.0, 3.0)",4.0,0.18
"(1, 1.0, 0.0, 3.0)",1.0,0.0
"(1, 1.0, 0.0, 4.0)",1.0,0.03
"(1, 1.0, 0.0, 4.0)",3.0,0.0
"(1, 1.0, 0.0, 4.0)",0.0,0.0
"(1, 1.0, 0.0, 4.0)",2.0,0.0
"(1, 1.0, 0.0, 4.0)",4.0,0.0
"(1, 1.0, 1.0, 0.0)",1.0,0.81243
"(1, 1.0, 1.0, 0.0)",3.0,0.0073628999999999995
"(1, 1.0, 1.0, 0.0)",0.0,0.0
"(1, 1.0, 1.0, 0.0)",2.0,0.0
"(1, 1.0, 1.0, 0.0)",4.0,0.3
"(1, 1.0, 1.0, 2.0)",0.0,0.0
"(1, 1.0, 1.0, 2.0)",2.0,0.2963946411
"(1, 1.0, 1.0, 2.0)",4.0,0.0
"(1, 1.0, 1.0, 2.0)",1.0,0.1136
"(1, 1.0, 1.0, 2.0)",3.0,0.18641191499999998
"(1, 1.0, 1.0, 3.0)",0.0,0.0
"(1, 1.0, 1.0, 3.0)",2.0,0.7292361265731819
"(1, 1.0, 1.0, 3.0)",4.0,0.11737395247335704
"(1, 1.0, 1.0, 3.0)",1.0,0.40667869
"(1, 1.0, 1.0, 3.0)",3.0,0.13916917498499998
"(1, 1.0, 1.0, 4.0)",0.0,0.0
"(1, 1.0, 1.0, 4.0)",2.0,0.00162
"(1, 1.0, 1.0, 4.0)",4.0,0.000486
"(1, 1.0, 1.0, 4.0)",1.0,0.7509509999999999
"(1, 1.0, 1.0, 4.0)",3.0,0.00021869999999999998
"(1, 1.0, 2.0, 0.0)",1.0,0.1
"(1, 1.0, 2.0, 0.0)",3.0,0.0
"(1, 1.0, 2.0, 0.0)",0.0,0.0
"(1, 1.0, 2.0, 0.0)",2.0,0.03
"(1, 1.0, 2.0, 0.0)",4.0,0.009
"(1, 1.0, 2.0, 3.0)",1.0,1.0
"(1, 1.0, 2.0, 3.0)",3.0,0.2423710532975464
"(1, 1.0, 2.0, 3.0)",0.0,1.0
"(1, 1.0, 2.0, 3.0)",2.0,0.3416087026173342
"(1, 1.0, 2.0, 3.0)",4.0,0.05286441
"(1, 1.0, 2.0, 4.0)",1.0,1.0
"(1, 1.0, 2.0, 4.0)",3.0,0.0
"(1, 1.0, 2.0, 4.0)",0.0,0.0
"(1, 1.0, 2.0, 4.0)",2.0,0.3
"(1, 1.0, 2.0, 4.0)",4.0,0.0
"(1, 1.0, 3.0, 0.0)",4.0,0.018
"(1, 1.0, 3.0, 0.0)",1.0,0.0
"(1, 1.0, 3.0, 0.0)",3.0,2.301
"(1, 1.0, 3.0, 0.0)",0.0,2.0
"(1, 1.0, 3.0, 0.0)",2.0,0.0
"(1, 1.0, 3.0, 3.0)",0.0,2.0
"(1, 1.0, 3.0, 3.0)",2.0,0.38
"(1, 1.0, 3.0, 3.0)",4.0,0.4861458
"(1, 1.0, 3.0, 3.0)",1.0,2.0
"(1, 1.0, 3.0, 3.0)",3.0,0.161919
"(1, 1.0, 3.0, 4.0)",0.0,0.8778
"(1, 1.0, 3.0, 4.0)",2.0,0.2
"(1, 1.0, 3.0, 4.0)",4.0,0.14100000000000001
"(1, 1.0, 3.0, 4.0)",1.0,0.0
"(1, 1.0, 3.0, 4.0)",3.0,0.0
"(1, 2.0, 0.0, 0.0)",3.0,0.0049329000000000005
"(1, 2.0, 0.0, 0.0)",0.0,0.0
"(1, 2.0, 0.0, 0.0)",2.0,0.0
"(1, 2.0, 0.0, 0.0)",4.0,0.00486
"(1, 2.0, 0.0, 0.0)",1.0,0.09
"(1, 2.0, 0.0, 1.0)",3.0,0.00243
"(1, 2.0, 0.0, 2.0)",3.0,0.6
"(1, 2.0, 0.0, 2.0)",0.0,0.0
"(1, 2.0, 0.0, 3.0)",1.0,0.0
"(1, 2.0, 0.0, 3.0)",3.0,0.0
"(1, 2.0, 0.0, 3.0)",0.0,0.0
"(1, 2.0, 0.0, 3.0)",2.0,0.0
"(1, 2.0, 0.0, 4.0)",3.0,0.054
"(1, 2.0, 0.0, 4.0)",0.0,0.18
"(1, 2.0, 0.0, 4.0)",4.0,0.0
"(1, 2.0, 0.0, 6.0)",1.0,0.0
"(1, 2.0, 0.0, 6.0)",3.0,0.01458
"(1, 2.0, 0.0, 6.0)",0.0,0.0
"(1, 2.0, 0.0, 6.0)",2.0,0.0
"(1, 2.0, 1.0, 0.0)",1.0,0.90081
"(1, 2.0, 1.0, 0.0)",3.0,0.0
"(1, 2.0, 1.0, 0.0)",0.0,0.0
"(1, 2.0, 1.0, 0.0)",2.0,0.0
"(1, 2.0, 1.0, 2.0)",0.0,0.027840510000000002
"(1, 2.0, 1.0, 2.0)",2.0,0.028324323000000002
"(1, 2.0, 1.0, 2.0)",4.0,0.0081
"(1, 2.0, 1.0, 2.0)",1.0,0.1586411163
"(1, 2.0, 1.0, 2.0)",3.0,0.0
"(1, 2.0, 1.0, 3.0)",4.0,0.07278387096182998
"(1, 2.0, 1.0, 3.0)",1.0,0.2883982060395547
"(1, 2.0, 1.0, 3.0)",3.0,0.036387150295329
"(1, 2.0, 1.0, 3.0)",0.0,0.0053144099999999994
"(1, 2.0, 1.0, 3.0)",2.0,0.051195968999999994
"(1, 2.0, 1.0, 4.0)",1.0,0.027243
"(1, 2.0, 1.0, 4.0)",3.0,0.0
"(1, 2.0, 1.0, 4.0)",0.0,0.027
"(1, 2.0, 1.0, 4.0)",2.0,0.0
"(1, 2.0, 1.0, 4.0)",4.0,0.00243
"(1, 2.0, 1.0, 6.0)",1.0,0.09
"(1, 2.0, 1.0, 6.0)",3.0,0.09
"(1, 2.0, 1.0, 6.0)",4.0,0.0
"(1, 2.0, 2.0, 0.0)",0.0,0.0
"(1, 2.0, 2.0, 0.0)",2.0,0.0
"(1, 2.0, 2.0, 0.0)",4.0,0.3
"(1, 2.0, 2.0, 0.0)",1.0,0.0
"(1, 2.0, 2.0, 0.0)",3.0,0.4635
"(1, 2.0, 2.0, 3.0)",3.0,0.19188074111789244
"(1, 2.0, 2.0, 3.0)",0.0,0.0
"(1, 2.0, 2.0, 3.0)",2.0,0.1778094940651095
"(1, 2.0, 2.0, 3.0)",4.0,0.06037053408763657
"(1, 2.0, 2.0, 3.0)",1.0,0.33121175367268213
"(1, 2.0, 2.0, 4.0)",2.0,0.0
"(1, 2.0, 2.0, 4.0)",4.0,0.087
"(1, 2.0, 2.0, 4.0)",1.0,0.07371
"(1, 2.0, 2.0, 4.0)",3.0,0.0
"(1, 2.0, 2.0, 4.0)",0.0,0.0
"(1, 2.0, 2.0, 6.0)",1.0,0.86456561
"(1, 2.0, 2.0, 6.0)",3.0,0.054
"(1, 2.0, 2.0, 6.0)",0.0,0.0
"(1, 2.0, 2.0, 6.0)",2.0,0.2
"(1, 2.0, 3.0, 0.0)",0.0,1.1
"(1, 2.0, 3.0, 0.0)",2.0,0.0
"(1, 2.0, 3.0, 0.0)",4.0,0.3
"(1, 2.0, 3.0, 0.0)",1.0,0.0
"(1, 2.0, 3.0, 0.0)",3.0,0.027
"(1, 2.0, 3.0, 3.0)",3.0,0.21282772449999998
"(1, 2.0, 3.0, 3.0)",0.0,1.0
"(1, 2.0, 3.0, 3.0)",2.0,0.043800000000000006
"(1, 2.0, 3.0, 3.0)",4.0,0.09779753848499999
"(1, 2.0, 3.0, 3.0)",1.0,1.0
"(1, 2.0, 3.0, 4.0)",1.0,0.2
"(1, 2.0, 3.0, 4.0)",3.0,0.0
"(1, 2.0, 3.0, 4.0)",0.0,1.9
"(1, 2.0, 3.0, 4.0)",2.0,0.5987
"(1, 2.0, 3.0, 4.0)",4.0,0.17099999999999999
"(1, 2.0, 3.0, 6.0)",3.0,0.57
"(1, 2.0, 3.0, 6.0)",0.0,0.0
"(1, 2.0, 3.0, 6.0)",2.0,0.0
"(1, 2.0, 3.0, 6.0)",1.0,0.1
"(1, 3.0, 0.0, 0.0)",1.0,1.9683e-06
"(1, 3.0, 0.0, 0.0)",3.0,0.06
"(1, 3.0, 0.0, 0.0)",0.0,0.0
"(1, 3.0, 0.0, 0.0)",2.0,0.0
"(1, 3.0, 0.0, 1.0)",2.0,0.0
"(1, 3.0, 0.0, 1.0)",3.0,0.0
"(1, 3.0, 0.0, 3.0)",0.0,0.0024300000000000003
"(1, 3.0, 0.0, 3.0)",2.0,0.02908296907625597
"(1, 3.0, 0.0, 3.0)",4.0,0.0
"(1, 3.0, 0.0, 3.0)",1.0,0.0
"(1, 3.0, 0.0, 3.0)",3.0,5.970509999999999e-05
"(1, 3.0, 0.0, 4.0)",0.0,0.0
"(1, 3.0, 0.0, 4.0)",2.0,0.027
"(1, 3.0, 0.0, 4.0)",4.0,0.0162
"(1, 3.0, 0.0, 4.0)",1.0,0.081
"(1, 3.0, 0.0, 4.0)",3.0,0.0
"(1, 3.0, 0.0, 6.0)",0.0,0.0
"(1, 3.0, 0.0, 6.0)",2.0,0.1839366
"(1, 3.0, 0.0, 6.0)",1.0,0.00021869999999999998
"(1, 3.0, 0.0, 7.0)",3.0,0.054
"(1, 3.0, 0.0, 7.0)",2.0,0.0
"(1, 3.0, 0.0, 7.0)",1.0,0.0
"(1, 3.0, 1.0, 0.0)",0.0,0.0
"(1, 3.0, 1.0, 0.0)",2.0,0.0
"(1, 3.0, 1.0, 0.0)",4.0,0.0
"(1, 3.0, 1.0, 0.0)",1.0,0.08634036921192181
"(1, 3.0, 1.0, 0.0)",3.0,0.0
"(1, 3.0, 1.0, 2.0)",3.0,0.0053144099999999994
"(1, 3.0, 1.0, 2.0)",0.0,0.011023573499999998
"(1, 3.0, 1.0, 2.0)",2.0,0.0024300000000000003
"(1, 3.0, 1.0, 2.0)",4.0,0.00495663836524155
"(1, 3.0, 1.0, 2.0)",1.0,0.034077283605
"(1, 3.0, 1.0, 3.0)",2.0,0.0034639558946884335
"(1, 3.0, 1.0, 3.0)",4.0,0.0004173817497064976
"(1, 3.0, 1.0, 3.0)",1.0,0.04177955345132744
"(1, 3.0, 1.0, 3.0)",3.0,2.2677199097645854e-05
"(1, 3.0, 1.0, 3.0)",0.0,0.010204326637032914
"(1, 3.0, 1.0, 4.0)",3.0,0.006566176999552158
"(1, 3.0, 1.0, 4.0)",0.0,5.5590605665555225e-06
"(1, 3.0, 1.0, 4.0)",2.0,0.00012914016299999997
"(1, 3.0, 1.0, 4.0)",4.0,0.023304890699999997
"(1, 3.0, 1.0, 4.0)",1.0,0.08262064575974705
"(1, 3.0, 1.0, 6.0)",1.0,0.0
"(1, 3.0, 1.0, 6.0)",3.0,0.00015943229999999998
"(1, 3.0, 1.0, 6.0)",0.0,0.00026497648260000005
"(1, 3.0, 1.0, 6.0)",2.0,0.0
"(1, 3.0, 1.0, 6.0)",4.0,0.0022307399999999997
"(1, 3.0, 1.0, 7.0)",1.0,1.594323e-06
"(1, 3.0, 1.0, 7.0)",3.0,0.0001458
"(1, 3.0, 1.0, 7.0)",0.0,0.005904899999999999
"(1, 3.0, 1.0, 7.0)",2.0,0.0
"(1, 3.0, 1.0, 7.0)",4.0,0.0
"(1, 3.0, 2.0, 0.0)",3.0,0.00243
"(1, 3.0, 2.0, 0.0)",0.0,0.0
"(1, 3.0, 2.0, 0.0)",2.0,0.0075087
"(1, 3.0, 2.0, 0.0)",4.0,0.0
"(1, 3.0, 2.0, 0.0)",1.0,0.0
"(1, 3.0, 2.0, 3.0)",1.0,0.014118457040905094
"(1, 3.0, 2.0, 3.0)",3.0,0.0031282704110685185
"(1, 3.0, 2.0, 3.0)",0.0,0.002287858341281791
"(1, 3.0, 2.0, 3.0)",2.0,0.0005287620140048837
"(1, 3.0, 2.0, 3.0)",4.0,0.01480207400401316
"(1, 3.0, 2.0, 4.0)",1.0,0.07157970292625279
"(1, 3.0, 2.0, 4.0)",3.0,0.0005314409999999999
"(1, 3.0, 2.0, 4.0)",0.0,9.417150650950904e-07
"(1, 3.0, 2.0, 4.0)",2.0,0.0243
"(1, 3.0, 2.0, 4.0)",4.0,7.651016143270287e-08
"(1, 3.0, 2.0, 6.0)",0.0,0.0
"(1, 3.0, 2.0, 6.0)",2.0,0.3
"(1, 3.0, 2.0, 6.0)",1.0,0.00081
"(1, 3.0, 2.0, 6.0)",3.0,0.0
"(1, 3.0, 2.0, 7.0)",0.0,3.877691674400999e-08
"(1, 3.0, 2.0, 7.0)",2.0,4.304672099999998e-09
"(1, 3.0, 2.0, 7.0)",1.0,1.4348906999999993e-08
"(1, 3.0, 2.0, 7.0)",3.0,0.0
"(1, 3.0, 3.0, 0.0)",1.0,1.0
"(1, 3.0, 3.0, 0.0)",3.0,0.0
"(1, 3.0, 3.0, 0.0)",0.0,0.0
"(1, 3.0, 3.0, 0.0)",2.0,0.0027
"(1, 3.0, 3.0, 0.0)",4.0,0.00021869999999999998
"(1, 3.0, 3.0, 3.0)",1.0,0.0005825157111861627
"(1, 3.0, 3.0, 3.0)",3.0,0.00039651960801775866
"(1, 3.0, 3.0, 3.0)",0.0,0.0
"(1, 3.0, 3.0, 3.0)",2.0,0.0005698700672868677
"(1, 3.0, 3.0, 3.0)",4.0,1.9402628913347698e-05
"(1, 3.0, 3.0, 4.0)",4.0,0.048600004304672095
