State,Action,Q-Value
"(1, 1.0, 0.0, 0.0)",0.0,0.057
"(1, 1.0, 0.0, 0.0)",2.0,0.018
"(1, 1.0, 0.0, 0.0)",4.0,0.0
"(1, 1.0, 0.0, 0.0)",1.0,0.1
"(1, 1.0, 0.0, 0.0)",3.0,0.29117400000000004
"(1, 1.0, 0.0, 1.0)",0.0,0.0
"(1, 1.0, 0.0, 1.0)",2.0,0.0
"(1, 1.0, 0.0, 1.0)",4.0,0.0027
"(1, 1.0, 0.0, 1.0)",1.0,0.19
"(1, 1.0, 0.0, 1.0)",3.0,0.0
"(1, 1.0, 0.0, 3.0)",3.0,0.018
"(1, 1.0, 0.0, 3.0)",0.0,0.0081
"(1, 1.0, 0.0, 3.0)",2.0,0.03
"(1, 1.0, 0.0, 3.0)",4.0,0.19521
"(1, 1.0, 0.0, 3.0)",1.0,0.0
"(1, 1.0, 0.0, 4.0)",1.0,0.0
"(1, 1.0, 0.0, 4.0)",3.0,0.0
"(1, 1.0, 0.0, 4.0)",0.0,0.0
"(1, 1.0, 0.0, 4.0)",2.0,0.0
"(1, 1.0, 0.0, 4.0)",4.0,0.09
"(1, 1.0, 1.0, 0.0)",1.0,0.1
"(1, 1.0, 1.0, 0.0)",3.0,0.0
"(1, 1.0, 1.0, 0.0)",0.0,0.0
"(1, 1.0, 1.0, 0.0)",2.0,0.0
"(1, 1.0, 1.0, 0.0)",4.0,0.0
"(1, 1.0, 1.0, 2.0)",0.0,0.0
"(1, 1.0, 1.0, 2.0)",2.0,0.009
"(1, 1.0, 1.0, 2.0)",4.0,0.019500000000000003
"(1, 1.0, 1.0, 2.0)",1.0,0.76144810963
"(1, 1.0, 1.0, 2.0)",3.0,0.057
"(1, 1.0, 1.0, 3.0)",0.0,0.0
"(1, 1.0, 1.0, 3.0)",2.0,0.0543
"(1, 1.0, 1.0, 3.0)",4.0,0.084768714
"(1, 1.0, 1.0, 3.0)",1.0,0.5788742724701502
"(1, 1.0, 1.0, 3.0)",3.0,0.004887000000000001
"(1, 1.0, 1.0, 4.0)",0.0,0.0
"(1, 1.0, 1.0, 4.0)",2.0,0.40599
"(1, 1.0, 1.0, 4.0)",4.0,0.0
"(1, 1.0, 1.0, 4.0)",1.0,0.0
"(1, 1.0, 1.0, 4.0)",3.0,0.0
"(1, 1.0, 2.0, 0.0)",1.0,1.0
"(1, 1.0, 2.0, 0.0)",3.0,0.0
"(1, 1.0, 2.0, 0.0)",0.0,0.0
"(1, 1.0, 2.0, 0.0)",2.0,0.0
"(1, 1.0, 2.0, 0.0)",4.0,0.0
"(1, 1.0, 2.0, 3.0)",1.0,1.0
"(1, 1.0, 2.0, 3.0)",3.0,0.03
"(1, 1.0, 2.0, 3.0)",0.0,1.0
"(1, 1.0, 2.0, 3.0)",2.0,0.2343
"(1, 1.0, 2.0, 3.0)",4.0,0.3
"(1, 1.0, 2.0, 4.0)",2.0,0.3
"(1, 1.0, 3.0, 0.0)",4.0,0.5760000000000001
"(1, 1.0, 3.0, 0.0)",1.0,0.0
"(1, 1.0, 3.0, 0.0)",3.0,0.08099999999999999
"(1, 1.0, 3.0, 0.0)",0.0,0.0
"(1, 1.0, 3.0, 0.0)",2.0,0.0
"(1, 1.0, 3.0, 3.0)",0.0,0.0
"(1, 1.0, 3.0, 3.0)",2.0,0.2
"(1, 1.0, 3.0, 3.0)",4.0,0.0
"(1, 1.0, 3.0, 3.0)",1.0,2.0
"(1, 1.0, 3.0, 3.0)",3.0,0.6
"(1, 1.0, 3.0, 4.0)",0.0,0.2
"(1, 1.0, 3.0, 4.0)",2.0,0.99002
"(1, 1.0, 3.0, 4.0)",4.0,0.0
"(1, 1.0, 3.0, 4.0)",1.0,0.0
"(1, 1.0, 3.0, 4.0)",3.0,0.0
"(1, 2.0, 0.0, 0.0)",3.0,0.023509683
"(1, 2.0, 0.0, 0.0)",0.0,0.0
"(1, 2.0, 0.0, 0.0)",2.0,0.0
"(1, 2.0, 0.0, 0.0)",1.0,0.0
"(1, 2.0, 0.0, 3.0)",1.0,0.0
"(1, 2.0, 0.0, 3.0)",3.0,0.46199999999999997
"(1, 2.0, 0.0, 3.0)",0.0,0.0
"(1, 2.0, 0.0, 3.0)",2.0,0.027
"(1, 2.0, 0.0, 4.0)",1.0,0.0054
"(1, 2.0, 0.0, 4.0)",3.0,0.06
"(1, 2.0, 0.0, 4.0)",0.0,0.0
"(1, 2.0, 0.0, 4.0)",2.0,0.0
"(1, 2.0, 1.0, 0.0)",1.0,0.90081
"(1, 2.0, 1.0, 0.0)",3.0,0.0
"(1, 2.0, 1.0, 0.0)",0.0,0.0
"(1, 2.0, 1.0, 0.0)",2.0,0.0
"(1, 2.0, 1.0, 2.0)",0.0,0.00143532116721
"(1, 2.0, 1.0, 2.0)",2.0,1.77147e-06
"(1, 2.0, 1.0, 2.0)",4.0,0.09
"(1, 2.0, 1.0, 2.0)",1.0,0.0
"(1, 2.0, 1.0, 2.0)",3.0,0.000486
"(1, 2.0, 1.0, 3.0)",4.0,0.18012213000000002
"(1, 2.0, 1.0, 3.0)",1.0,0.45721651957723797
"(1, 2.0, 1.0, 3.0)",3.0,0.007226237069999999
"(1, 2.0, 1.0, 3.0)",0.0,0.0005314409999999999
"(1, 2.0, 1.0, 3.0)",2.0,0.0464697
"(1, 2.0, 1.0, 4.0)",1.0,0.08958859200000001
"(1, 2.0, 1.0, 4.0)",3.0,0.0
"(1, 2.0, 1.0, 4.0)",0.0,0.0
"(1, 2.0, 1.0, 4.0)",2.0,0.00081
"(1, 2.0, 2.0, 0.0)",0.0,0.0
"(1, 2.0, 2.0, 0.0)",2.0,0.0
"(1, 2.0, 2.0, 0.0)",4.0,0.0
"(1, 2.0, 2.0, 0.0)",1.0,0.585
"(1, 2.0, 2.0, 0.0)",3.0,0.0
"(1, 2.0, 2.0, 3.0)",3.0,0.0
"(1, 2.0, 2.0, 3.0)",0.0,0.0
"(1, 2.0, 2.0, 3.0)",2.0,0.1840776764430759
"(1, 2.0, 2.0, 3.0)",4.0,0.12747
"(1, 2.0, 2.0, 3.0)",1.0,0.11017650401973002
"(1, 2.0, 2.0, 4.0)",2.0,0.0
