State,Action,Q-Value
"(1, 1.0, 0.0, 0.0)",0.0,0.0
"(1, 1.0, 0.0, 0.0)",2.0,0.2043783046721
"(1, 1.0, 0.0, 0.0)",4.0,0.50229
"(1, 1.0, 0.0, 0.0)",1.0,0.846783
"(1, 1.0, 0.0, 0.0)",3.0,0.0027
"(1, 1.0, 0.0, 1.0)",1.0,0.0
"(1, 1.0, 0.0, 2.0)",0.0,0.0
"(1, 1.0, 0.0, 2.0)",2.0,0.09
"(1, 1.0, 0.0, 2.0)",4.0,0.27
"(1, 1.0, 0.0, 2.0)",3.0,0.8999999999999999
"(1, 1.0, 0.0, 3.0)",3.0,0.4458
"(1, 1.0, 0.0, 3.0)",0.0,0.0
"(1, 1.0, 0.0, 3.0)",2.0,1.809
"(1, 1.0, 0.0, 3.0)",4.0,0.03
"(1, 1.0, 0.0, 3.0)",1.0,1.0
"(1, 1.0, 0.0, 4.0)",3.0,0.3
"(1, 1.0, 1.0, 0.0)",1.0,0.17099999999999999
"(1, 1.0, 1.0, 0.0)",3.0,0.03
"(1, 1.0, 1.0, 0.0)",0.0,0.0
"(1, 1.0, 1.0, 0.0)",2.0,0.009
"(1, 1.0, 1.0, 0.0)",4.0,0.029321999999999997
"(1, 1.0, 1.0, 2.0)",0.0,0.0
"(1, 1.0, 1.0, 2.0)",2.0,0.201516115518
"(1, 1.0, 1.0, 2.0)",4.0,0.10587
"(1, 1.0, 1.0, 2.0)",1.0,0.224922920706406
"(1, 1.0, 1.0, 2.0)",3.0,0.21208457969802
"(1, 1.0, 1.0, 3.0)",0.0,0.0
"(1, 1.0, 1.0, 3.0)",2.0,0.27510372684973017
"(1, 1.0, 1.0, 3.0)",4.0,0.06188364721127699
"(1, 1.0, 1.0, 3.0)",1.0,0.45744533236252016
"(1, 1.0, 1.0, 3.0)",3.0,0.06387949995550017
"(1, 1.0, 1.0, 4.0)",0.0,0.0
"(1, 1.0, 1.0, 4.0)",2.0,0.0024300000000000003
"(1, 1.0, 1.0, 4.0)",4.0,0.0567
"(1, 1.0, 1.0, 4.0)",1.0,0.2323870326
"(1, 1.0, 1.0, 4.0)",3.0,0.18
"(1, 1.0, 2.0, 0.0)",1.0,1.0
"(1, 1.0, 2.0, 0.0)",3.0,0.0
"(1, 1.0, 2.0, 0.0)",0.0,0.0
"(1, 1.0, 2.0, 0.0)",2.0,0.3
"(1, 1.0, 2.0, 0.0)",4.0,0.09
"(1, 1.0, 2.0, 3.0)",1.0,1.0
"(1, 1.0, 2.0, 3.0)",3.0,0.2063441059258736
"(1, 1.0, 2.0, 3.0)",0.0,1.0
"(1, 1.0, 2.0, 3.0)",2.0,0.5814277129871391
"(1, 1.0, 2.0, 3.0)",4.0,0.23259775361717044
"(1, 1.0, 2.0, 4.0)",1.0,0.19
"(1, 1.0, 2.0, 4.0)",3.0,0.03
"(1, 1.0, 2.0, 4.0)",0.0,1.0
"(1, 1.0, 2.0, 4.0)",2.0,0.0
"(1, 1.0, 2.0, 4.0)",4.0,0.0139
"(1, 1.0, 3.0, 0.0)",4.0,0.0
"(1, 1.0, 3.0, 0.0)",1.0,0.0
"(1, 1.0, 3.0, 0.0)",3.0,0.06
"(1, 1.0, 3.0, 0.0)",0.0,3.0
"(1, 1.0, 3.0, 0.0)",2.0,2.0
"(1, 1.0, 3.0, 3.0)",0.0,2.0
"(1, 1.0, 3.0, 3.0)",2.0,2.0
"(1, 1.0, 3.0, 3.0)",4.0,0.2657577066
"(1, 1.0, 3.0, 3.0)",1.0,2.0
"(1, 1.0, 3.0, 3.0)",3.0,0.287881269
"(1, 1.0, 3.0, 4.0)",0.0,2.0
"(1, 1.0, 3.0, 4.0)",2.0,2.09
"(1, 1.0, 3.0, 4.0)",4.0,0.56865
"(1, 1.0, 3.0, 4.0)",1.0,2.1
"(1, 1.0, 3.0, 4.0)",3.0,0.302187
"(1, 1.0, 4.0, 0.0)",0.0,4.0
"(1, 1.0, 4.0, 0.0)",1.0,4.0
"(1, 2.0, 0.0, 0.0)",3.0,0.034919049
"(1, 2.0, 0.0, 0.0)",0.0,0.057
"(1, 2.0, 0.0, 0.0)",2.0,1.5242863979999999
"(1, 2.0, 0.0, 0.0)",4.0,0.0358578441
"(1, 2.0, 0.0, 0.0)",1.0,0.07083294
"(1, 2.0, 0.0, 2.0)",4.0,0.0
"(1, 2.0, 0.0, 2.0)",1.0,0.919
"(1, 2.0, 0.0, 2.0)",3.0,0.03
"(1, 2.0, 0.0, 2.0)",0.0,0.0
"(1, 2.0, 0.0, 2.0)",2.0,0.018
"(1, 2.0, 0.0, 3.0)",1.0,0.9124300000000001
"(1, 2.0, 0.0, 3.0)",3.0,0.009
"(1, 2.0, 0.0, 3.0)",0.0,0.013499999999999998
"(1, 2.0, 0.0, 3.0)",2.0,0.623
"(1, 2.0, 0.0, 3.0)",4.0,0.06729
"(1, 2.0, 0.0, 4.0)",1.0,0.1
"(1, 2.0, 0.0, 4.0)",3.0,0.0002916
"(1, 2.0, 0.0, 4.0)",0.0,0.0
"(1, 2.0, 0.0, 4.0)",2.0,0.00081
"(1, 2.0, 0.0, 4.0)",4.0,0.162
"(1, 2.0, 0.0, 6.0)",1.0,0.009
"(1, 2.0, 0.0, 6.0)",3.0,0.0
"(1, 2.0, 0.0, 6.0)",0.0,0.03
"(1, 2.0, 0.0, 6.0)",2.0,0.087477147
"(1, 2.0, 0.0, 6.0)",4.0,0.027
"(1, 2.0, 1.0, 0.0)",1.0,0.026730354293999996
"(1, 2.0, 1.0, 0.0)",3.0,0.0002607147
"(1, 2.0, 1.0, 0.0)",0.0,6.5609999999999995e-06
"(1, 2.0, 1.0, 0.0)",2.0,0.204374
"(1, 2.0, 1.0, 0.0)",4.0,0.270006561
"(1, 2.0, 1.0, 2.0)",0.0,0.0177147
"(1, 2.0, 1.0, 2.0)",2.0,0.43471200464253
"(1, 2.0, 1.0, 2.0)",4.0,0.0024080245229340003
"(1, 2.0, 1.0, 2.0)",1.0,0.11032697907
"(1, 2.0, 1.0, 2.0)",3.0,0.023361131323979996
