State,Action,Q-Value
"(1, 1.0, 0.0, 0.0)",3.0,0.00081
"(1, 1.0, 0.0, 0.0)",0.0,0.0
"(1, 1.0, 0.0, 1.0)",2.0,0.3
"(1, 1.0, 0.0, 2.0)",2.0,0.0
"(1, 1.0, 0.0, 2.0)",4.0,0.0
"(1, 1.0, 0.0, 3.0)",3.0,0.027
"(1, 1.0, 0.0, 3.0)",0.0,0.009
"(1, 1.0, 0.0, 3.0)",2.0,0.0
"(1, 1.0, 1.0, 0.0)",2.0,0.3
"(1, 1.0, 1.0, 2.0)",4.0,0.0
"(1, 1.0, 1.0, 2.0)",0.0,0.0
"(1, 1.0, 1.0, 2.0)",1.0,0.10538233333333334
"(1, 1.0, 1.0, 2.0)",3.0,0.005904899999999999
"(1, 1.0, 1.0, 2.0)",2.0,0.014215500000000002
"(1, 1.0, 1.0, 3.0)",2.0,0.0002187
"(1, 1.0, 1.0, 3.0)",4.0,0.0
"(1, 1.0, 1.0, 3.0)",1.0,0.10243
"(1, 1.0, 1.0, 3.0)",3.0,0.25067804999999993
"(1, 1.0, 1.0, 3.0)",0.0,0.0
"(1, 1.0, 1.0, 4.0)",2.0,0.0
"(1, 1.0, 2.0, 0.0)",1.0,1.0
"(1, 1.0, 2.0, 0.0)",2.0,0.09
"(1, 1.0, 2.0, 0.0)",4.0,0.0081
"(1, 1.0, 2.0, 0.0)",0.0,1.0
"(1, 1.0, 2.0, 3.0)",0.0,1.0
"(1, 1.0, 2.0, 3.0)",2.0,0.3
"(1, 1.0, 2.0, 3.0)",4.0,0.081
"(1, 1.0, 2.0, 4.0)",4.0,0.3
"(1, 1.0, 2.0, 4.0)",3.0,0.027
"(1, 1.0, 2.0, 4.0)",0.0,1.0
"(1, 1.0, 3.0, 0.0)",2.0,2.0
"(1, 2.0, 0.0, 0.0)",1.0,0.0
"(1, 2.0, 0.0, 0.0)",2.0,0.0
"(1, 2.0, 0.0, 2.0)",3.0,0.0
"(1, 2.0, 0.0, 2.0)",4.0,0.0
"(1, 2.0, 0.0, 2.0)",0.0,0.0
"(1, 2.0, 0.0, 3.0)",4.0,0.0
"(1, 2.0, 0.0, 3.0)",0.0,0.0
"(1, 2.0, 0.0, 3.0)",2.0,0.0
"(1, 2.0, 0.0, 6.0)",0.0,0.0
"(1, 2.0, 0.0, 6.0)",2.0,0.0
"(1, 2.0, 1.0, 0.0)",1.0,0.0
"(1, 2.0, 1.0, 0.0)",3.0,0.0
"(1, 2.0, 1.0, 0.0)",0.0,0.0
"(1, 2.0, 1.0, 0.0)",2.0,0.0
"(1, 2.0, 1.0, 0.0)",4.0,0.0
"(1, 2.0, 1.0, 2.0)",1.0,0.011966160658659575
"(1, 2.0, 1.0, 2.0)",3.0,1.2464027479295852e-06
"(1, 2.0, 1.0, 2.0)",0.0,0.0007174453543253505
"(1, 2.0, 1.0, 2.0)",2.0,0.00019418096039413497
"(1, 2.0, 1.0, 2.0)",4.0,0.002836742491486509
"(1, 2.0, 1.0, 3.0)",4.0,0.0
"(1, 2.0, 1.0, 3.0)",1.0,0.0
"(1, 2.0, 1.0, 3.0)",3.0,0.0
"(1, 2.0, 1.0, 3.0)",0.0,0.0
"(1, 2.0, 1.0, 3.0)",2.0,0.0
