0.000, Bid:,0,Ask:,0,
0.450, Bid:,0,Ask:,1,2,1,
1.625, Bid:,0,Ask:,2,1,1,2,1,
1.725, Bid:,0,Ask:,1,2,1,
2.525, Bid:,0,Ask:,1,3,1,
2.875, Bid:,1,2,1,Ask:,1,3,1,
3.425, Bid:,2,1,1,2,1,Ask:,1,3,1,
4.325, Bid:,1,1,1,Ask:,1,3,1,
4.775, Bid:,0,Ask:,1,3,1,
4.825, Bid:,1,2,1,Ask:,1,3,1,
6.750, Bid:,2,1,1,2,1,Ask:,1,3,1,
8.100, Bid:,1,1,1,Ask:,1,3,1,
8.150, Bid:,0,Ask:,1,3,1,
8.450, Bid:,0,Ask:,1,6,1,
8.550, Bid:,1,3,1,Ask:,1,6,1,
8.700, Bid:,1,3,1,Ask:,1,5,1,
9.150, Bid:,0,Ask:,0,
9.775, Bid:,0,Ask:,1,3,1,
9.800, Bid:,1,2,1,Ask:,1,3,1,
11.275, Bid:,0,Ask:,1,3,1,
12.825, Bid:,1,1,1,Ask:,1,3,1,
13.800, Bid:,1,1,2,Ask:,1,3,1,
14.800, Bid:,1,1,3,Ask:,1,3,1,
15.175, Bid:,1,1,2,Ask:,1,3,1,
16.400, Bid:,1,1,1,Ask:,1,3,1,
16.600, Bid:,1,1,1,Ask:,2,2,1,3,1,
17.625, Bid:,1,1,1,Ask:,2,2,2,3,1,
17.775, Bid:,1,1,2,Ask:,2,2,2,3,1,
18.050, Bid:,1,1,2,Ask:,2,2,1,3,1,
19.675, Bid:,1,1,1,Ask:,2,2,1,3,1,
20.375, Bid:,1,1,1,Ask:,1,3,1,
20.600, Bid:,0,Ask:,1,3,1,
21.425, Bid:,1,2,1,Ask:,1,3,1,
22.175, Bid:,2,1,1,2,1,Ask:,1,3,1,
22.325, Bid:,1,1,1,Ask:,1,3,1,
23.750, Bid:,0,Ask:,1,3,1,
25.750, Bid:,1,2,1,Ask:,1,3,1,
25.925, Bid:,1,2,2,Ask:,1,3,1,
27.450, Bid:,1,2,1,Ask:,1,3,1,
27.875, Bid:,1,2,2,Ask:,1,3,1,
28.425, Bid:,2,1,1,2,2,Ask:,1,3,1,
29.425, Bid:,2,1,1,2,1,Ask:,1,3,1,
29.925, Bid:,1,1,1,Ask:,1,3,1,
