State,Action,Count
"(1, 1.0, 1.0, 0.0)",1.0,17
"(1, 1.0, 1.0, 2.0)",3.0,64
"(1, 1.0, 1.0, 3.0)",1.0,81
"(1, 1.0, 1.0, 2.0)",4.0,54
"(1, 1.0, 1.0, 2.0)",2.0,53
"(1, 1.0, 1.0, 2.0)",1.0,428
"(1, 1.0, 1.0, 2.0)",0.0,58
"(1, 2.0, 1.0, 0.0)",0.0,4
"(1, 2.0, 1.0, 2.0)",3.0,227
"(1, 2.0, 1.0, 4.0)",3.0,6
"(1, 2.0, 2.0, 4.0)",3.0,20
"(1, 2.0, 2.0, 4.0)",4.0,5
"(1, 2.0, 2.0, 6.0)",0.0,2
"(1, 2.0, 1.0, 2.0)",1.0,226
"(1, 2.0, 1.0, 3.0)",1.0,355
"(1, 2.0, 1.0, 2.0)",0.0,227
"(1, 1.0, 2.0, 0.0)",1.0,8
"(1, 2.0, 0.0, 0.0)",2.0,23
"(1, 2.0, 0.0, 3.0)",1.0,48
"(1, 2.0, 0.0, 3.0)",3.0,5
"(1, 2.0, 0.0, 4.0)",1.0,12
"(1, 2.0, 1.0, 3.0)",4.0,49
"(1, 2.0, 2.0, 3.0)",2.0,15
"(1, 1.0, 1.0, 3.0)",2.0,7
"(1, 2.0, 1.0, 0.0)",3.0,26
"(1, 2.0, 1.0, 4.0)",1.0,41
"(1, 2.0, 1.0, 3.0)",2.0,48
"(1, 2.0, 2.0, 3.0)",1.0,159
"(1, 2.0, 2.0, 3.0)",4.0,18
"(1, 2.0, 2.0, 3.0)",0.0,30
"(1, 2.0, 1.0, 3.0)",0.0,62
"(1, 2.0, 1.0, 2.0)",2.0,229
"(1, 3.0, 1.0, 2.0)",4.0,15
"(1, 3.0, 1.0, 2.0)",0.0,54
"(1, 3.0, 1.0, 2.0)",2.0,46
"(1, 3.0, 1.0, 2.0)",1.0,54
"(1, 2.0, 0.0, 4.0)",0.0,2
"(1, 1.0, 0.0, 0.0)",3.0,4
"(1, 1.0, 0.0, 0.0)",1.0,19
"(1, 1.0, 1.0, 4.0)",3.0,6
"(1, 1.0, 1.0, 3.0)",3.0,10
"(1, 1.0, 1.0, 3.0)",4.0,10
"(1, 2.0, 0.0, 3.0)",0.0,9
"(1, 2.0, 1.0, 2.0)",4.0,81
"(1, 2.0, 0.0, 3.0)",2.0,10
"(1, 2.0, 0.0, 0.0)",3.0,3
"(1, 2.0, 2.0, 4.0)",0.0,5
"(1, 2.0, 0.0, 2.0)",0.0,6
"(1, 2.0, 0.0, 2.0)",2.0,4
"(1, 2.0, 0.0, 2.0)",3.0,5
"(1, 2.0, 1.0, 3.0)",3.0,65
"(1, 1.0, 0.0, 0.0)",0.0,1
"(1, 2.0, 0.0, 4.0)",2.0,2
"(1, 1.0, 2.0, 3.0)",0.0,7
"(1, 2.0, 2.0, 3.0)",3.0,23
"(1, 1.0, 2.0, 3.0)",1.0,12
"(1, 2.0, 1.0, 4.0)",0.0,5
"(1, 2.0, 1.0, 4.0)",2.0,4
"(1, 2.0, 1.0, 6.0)",1.0,17
"(1, 1.0, 0.0, 2.0)",1.0,18
"(1, 3.0, 2.0, 0.0)",2.0,1
"(1, 3.0, 2.0, 4.0)",2.0,4
"(1, 3.0, 2.0, 4.0)",0.0,1
"(1, 3.0, 0.0, 3.0)",2.0,8
"(1, 3.0, 0.0, 4.0)",4.0,1
"(1, 3.0, 2.0, 7.0)",4.0,1
"(1, 3.0, 1.0, 7.0)",1.0,3
"(1, 3.0, 1.0, 3.0)",0.0,12
"(1, 3.0, 2.0, 3.0)",0.0,10
"(1, 3.0, 2.0, 3.0)",4.0,2
"(1, 3.0, 2.0, 7.0)",1.0,3
"(1, 3.0, 0.0, 2.0)",4.0,1
"(1, 3.0, 1.0, 4.0)",3.0,1
"(1, 3.0, 1.0, 6.0)",0.0,3
"(1, 3.0, 1.0, 3.0)",4.0,6
