State,Action,Count
"(1, 1.0, 0.0, 0.0)",1.0,27
"(1, 1.0, 1.0, 2.0)",1.0,674
"(1, 1.0, 1.0, 2.0)",3.0,24
"(1, 2.0, 1.0, 3.0)",1.0,670
"(1, 2.0, 1.0, 2.0)",1.0,937
"(1, 2.0, 2.0, 3.0)",3.0,280
"(1, 2.0, 2.0, 3.0)",2.0,14
"(1, 2.0, 1.0, 3.0)",3.0,35
"(1, 2.0, 1.0, 3.0)",2.0,43
"(1, 2.0, 1.0, 3.0)",4.0,36
"(1, 2.0, 1.0, 3.0)",0.0,32
"(1, 1.0, 1.0, 3.0)",0.0,3
"(1, 2.0, 0.0, 0.0)",2.0,24
"(1, 2.0, 0.0, 3.0)",3.0,4
"(1, 2.0, 0.0, 4.0)",2.0,4
"(1, 2.0, 2.0, 3.0)",4.0,10
"(1, 2.0, 2.0, 6.0)",1.0,5
"(1, 2.0, 1.0, 2.0)",4.0,48
"(1, 2.0, 1.0, 2.0)",0.0,46
"(1, 2.0, 1.0, 2.0)",3.0,38
"(1, 2.0, 1.0, 2.0)",2.0,39
"(1, 1.0, 1.0, 3.0)",1.0,56
"(1, 3.0, 1.0, 2.0)",2.0,36
"(1, 3.0, 1.0, 4.0)",1.0,6
"(1, 3.0, 1.0, 3.0)",4.0,5
"(1, 3.0, 1.0, 7.0)",2.0,3
"(1, 3.0, 1.0, 4.0)",2.0,6
"(1, 3.0, 1.0, 4.0)",0.0,8
"(1, 3.0, 1.0, 2.0)",0.0,21
"(1, 3.0, 1.0, 2.0)",1.0,27
"(1, 2.0, 0.0, 3.0)",2.0,68
"(1, 2.0, 2.0, 4.0)",3.0,12
"(1, 2.0, 2.0, 4.0)",2.0,17
"(1, 2.0, 2.0, 3.0)",0.0,11
"(1, 1.0, 2.0, 0.0)",4.0,2
"(1, 1.0, 2.0, 4.0)",1.0,2
"(1, 3.0, 0.0, 2.0)",0.0,2
"(1, 3.0, 1.0, 3.0)",1.0,15
"(1, 3.0, 1.0, 3.0)",2.0,8
"(1, 3.0, 0.0, 3.0)",2.0,3
"(1, 3.0, 2.0, 4.0)",1.0,2
"(1, 3.0, 3.0, 3.0)",1.0,1
"(1, 3.0, 2.0, 3.0)",0.0,6
"(1, 3.0, 2.0, 3.0)",1.0,6
"(1, 3.0, 1.0, 3.0)",0.0,8
"(1, 2.0, 2.0, 0.0)",3.0,10
"(1, 2.0, 1.0, 4.0)",1.0,30
"(1, 2.0, 1.0, 0.0)",2.0,21
"(1, 2.0, 2.0, 4.0)",0.0,11
"(1, 1.0, 1.0, 2.0)",4.0,33
"(1, 1.0, 1.0, 4.0)",4.0,1
"(1, 1.0, 1.0, 4.0)",1.0,6
"(1, 1.0, 1.0, 0.0)",1.0,29
"(1, 1.0, 1.0, 2.0)",2.0,35
"(1, 1.0, 1.0, 2.0)",0.0,21
"(1, 1.0, 0.0, 2.0)",1.0,31
"(1, 1.0, 0.0, 1.0)",2.0,5
"(1, 1.0, 1.0, 3.0)",2.0,4
"(1, 1.0, 0.0, 1.0)",1.0,1
"(1, 3.0, 1.0, 3.0)",3.0,2
"(1, 3.0, 1.0, 6.0)",0.0,1
"(1, 2.0, 0.0, 3.0)",1.0,4
"(1, 2.0, 0.0, 4.0)",1.0,4
"(1, 2.0, 0.0, 2.0)",2.0,17
"(1, 1.0, 1.0, 0.0)",2.0,1
"(1, 1.0, 2.0, 3.0)",1.0,8
"(1, 2.0, 1.0, 6.0)",1.0,16
"(1, 2.0, 2.0, 4.0)",1.0,13
"(1, 1.0, 2.0, 3.0)",0.0,8
"(1, 1.0, 2.0, 0.0)",3.0,1
"(1, 1.0, 2.0, 0.0)",0.0,8
"(1, 1.0, 0.0, 3.0)",1.0,8
"(1, 2.0, 2.0, 3.0)",1.0,10
"(1, 2.0, 0.0, 1.0)",1.0,1
"(1, 2.0, 0.0, 1.0)",4.0,1
"(1, 2.0, 0.0, 6.0)",2.0,2
"(1, 2.0, 0.0, 4.0)",0.0,5
"(1, 1.0, 0.0, 0.0)",3.0,2
"(1, 1.0, 2.0, 0.0)",1.0,5
"(1, 2.0, 1.0, 6.0)",0.0,2
"(1, 2.0, 1.0, 4.0)",4.0,6
"(1, 2.0, 0.0, 3.0)",4.0,4
"(1, 2.0, 1.0, 0.0)",1.0,3
"(1, 2.0, 1.0, 6.0)",4.0,2
"(1, 2.0, 0.0, 3.0)",0.0,5
"(1, 3.0, 1.0, 2.0)",4.0,6
"(1, 3.0, 1.0, 2.0)",3.0,3
"(1, 2.0, 0.0, 2.0)",1.0,2
"(1, 3.0, 2.0, 0.0)",0.0,1
"(1, 1.0, 0.0, 2.0)",4.0,3
"(1, 1.0, 0.0, 2.0)",3.0,4
"(1, 2.0, 0.0, 2.0)",0.0,1
"(1, 2.0, 3.0, 3.0)",0.0,1
"(1, 1.0, 0.0, 0.0)",0.0,1
"(1, 3.0, 0.0, 3.0)",0.0,1
"(1, 2.0, 2.0, 6.0)",4.0,1
"(1, 2.0, 2.0, 6.0)",3.0,1
"(1, 2.0, 1.0, 4.0)",2.0,2
"(1, 2.0, 2.0, 0.0)",1.0,1
"(1, 2.0, 1.0, 4.0)",0.0,1
"(1, 2.0, 1.0, 6.0)",2.0,1
"(1, 2.0, 0.0, 6.0)",4.0,1
"(1, 2.0, 0.0, 6.0)",1.0,3
"(1, 2.0, 0.0, 1.0)",2.0,1
"(1, 2.0, 0.0, 1.0)",3.0,1
"(1, 2.0, 1.0, 6.0)",3.0,1
"(1, 3.0, 1.0, 6.0)",1.0,1
"(1, 3.0, 2.0, 7.0)",1.0,1
"(1, 2.0, 3.0, 0.0)",0.0,1
"(1, 3.0, 1.0, 7.0)",0.0,1
"(1, 3.0, 1.0, 7.0)",1.0,1
"(1, 3.0, 0.0, 4.0)",2.0,1
"(1, 3.0, 2.0, 4.0)",0.0,2
"(1, 2.0, 0.0, 0.0)",4.0,1
"(1, 1.0, 2.0, 0.0)",2.0,1
"(1, 2.0, 2.0, 0.0)",0.0,1
"(1, 2.0, 1.0, 0.0)",0.0,1
"(1, 2.0, 0.0, 4.0)",3.0,1
"(1, 2.0, 1.0, 4.0)",3.0,1
"(1, 1.0, 0.0, 0.0)",4.0,1
"(1, 1.0, 0.0, 4.0)",1.0,1
"(1, 2.0, 0.0, 6.0)",3.0,1
"(1, 2.0, 2.0, 4.0)",4.0,1
"(1, 3.0, 1.0, 0.0)",2.0,1
"(1, 1.0, 1.0, 3.0)",3.0,1
"(1, 2.0, 3.0, 3.0)",1.0,1
"(1, 2.0, 3.0, 0.0)",1.0,1
"(1, 2.0, 1.0, 0.0)",4.0,2
"(1, 2.0, 1.0, 0.0)",3.0,1
"(1, 2.0, 0.0, 0.0)",1.0,2
"(1, 3.0, 0.0, 0.0)",2.0,1
"(1, 3.0, 2.0, 3.0)",2.0,1
"(1, 3.0, 2.0, 4.0)",2.0,1
"(1, 1.0, 1.0, 4.0)",2.0,1
"(1, 2.0, 0.0, 1.0)",0.0,1
"(1, 1.0, 3.0, 0.0)",4.0,1
"(1, 1.0, 3.0, 4.0)",1.0,1
"(1, 2.0, 3.0, 0.0)",4.0,1
