State,Action,Count
"(1, 1.0, 1.0, 2.0)",1.0,555
"(1, 1.0, 1.0, 2.0)",2.0,53
"(1, 1.0, 1.0, 2.0)",4.0,67
"(1, 2.0, 1.0, 2.0)",1.0,876
"(1, 2.0, 1.0, 2.0)",4.0,97
"(1, 2.0, 1.0, 2.0)",3.0,82
"(1, 2.0, 1.0, 2.0)",0.0,95
"(1, 2.0, 1.0, 2.0)",2.0,93
"(1, 2.0, 1.0, 3.0)",3.0,52
"(1, 2.0, 1.0, 3.0)",0.0,48
"(1, 2.0, 1.0, 3.0)",1.0,488
"(1, 2.0, 0.0, 3.0)",2.0,66
"(1, 2.0, 0.0, 3.0)",1.0,8
"(1, 2.0, 2.0, 3.0)",1.0,157
"(1, 2.0, 2.0, 3.0)",3.0,17
"(1, 2.0, 2.0, 3.0)",2.0,21
"(1, 1.0, 1.0, 3.0)",1.0,57
"(1, 1.0, 0.0, 0.0)",2.0,2
"(1, 1.0, 1.0, 2.0)",0.0,57
"(1, 2.0, 2.0, 3.0)",4.0,19
"(1, 2.0, 1.0, 3.0)",2.0,43
"(1, 1.0, 2.0, 3.0)",0.0,10
"(1, 2.0, 1.0, 0.0)",2.0,18
"(1, 2.0, 1.0, 4.0)",3.0,26
"(1, 2.0, 0.0, 4.0)",1.0,9
"(1, 2.0, 2.0, 0.0)",0.0,2
"(1, 1.0, 1.0, 0.0)",1.0,22
"(1, 1.0, 0.0, 2.0)",1.0,19
"(1, 2.0, 0.0, 0.0)",2.0,19
"(1, 2.0, 2.0, 3.0)",0.0,16
"(1, 1.0, 0.0, 2.0)",0.0,3
"(1, 1.0, 0.0, 1.0)",2.0,4
"(1, 2.0, 0.0, 3.0)",3.0,5
"(1, 2.0, 3.0, 3.0)",3.0,1
"(1, 2.0, 2.0, 4.0)",0.0,3
"(1, 1.0, 1.0, 2.0)",3.0,48
"(1, 1.0, 2.0, 3.0)",1.0,10
"(1, 3.0, 1.0, 2.0)",1.0,66
"(1, 3.0, 1.0, 2.0)",0.0,76
"(1, 2.0, 0.0, 3.0)",4.0,5
"(1, 2.0, 1.0, 6.0)",0.0,20
"(1, 2.0, 1.0, 3.0)",4.0,37
"(1, 2.0, 2.0, 6.0)",3.0,1
"(1, 2.0, 2.0, 4.0)",3.0,4
"(1, 1.0, 1.0, 0.0)",4.0,1
"(1, 1.0, 1.0, 4.0)",1.0,7
"(1, 1.0, 1.0, 3.0)",2.0,4
"(1, 3.0, 1.0, 2.0)",2.0,53
"(1, 3.0, 1.0, 0.0)",0.0,3
"(1, 3.0, 1.0, 3.0)",2.0,17
"(1, 1.0, 2.0, 0.0)",0.0,5
"(1, 2.0, 1.0, 6.0)",1.0,4
"(1, 1.0, 0.0, 0.0)",1.0,16
"(1, 1.0, 1.0, 3.0)",0.0,3
"(1, 1.0, 0.0, 4.0)",4.0,2
"(1, 1.0, 0.0, 4.0)",3.0,1
"(1, 1.0, 0.0, 3.0)",1.0,7
"(1, 3.0, 2.0, 0.0)",1.0,1
"(1, 3.0, 2.0, 3.0)",0.0,3
"(1, 3.0, 2.0, 3.0)",1.0,3
"(1, 3.0, 1.0, 3.0)",0.0,18
"(1, 3.0, 0.0, 3.0)",1.0,3
"(1, 3.0, 1.0, 3.0)",1.0,31
"(1, 3.0, 2.0, 3.0)",2.0,6
"(1, 3.0, 1.0, 4.0)",2.0,7
"(1, 3.0, 1.0, 4.0)",1.0,15
"(1, 3.0, 1.0, 2.0)",4.0,17
"(1, 3.0, 1.0, 3.0)",3.0,8
"(1, 3.0, 1.0, 6.0)",4.0,2
"(1, 3.0, 3.0, 4.0)",2.0,1
"(1, 3.0, 0.0, 2.0)",1.0,1
"(1, 3.0, 0.0, 3.0)",2.0,5
"(1, 3.0, 0.0, 1.0)",1.0,2
"(1, 3.0, 0.0, 3.0)",0.0,3
"(1, 2.0, 2.0, 0.0)",2.0,10
"(1, 2.0, 2.0, 4.0)",1.0,2
"(1, 2.0, 2.0, 6.0)",0.0,2
"(1, 1.0, 1.0, 3.0)",3.0,5
"(1, 1.0, 2.0, 3.0)",2.0,1
"(1, 2.0, 0.0, 0.0)",4.0,3
"(1, 2.0, 0.0, 6.0)",3.0,3
"(1, 2.0, 0.0, 2.0)",4.0,1
"(1, 2.0, 0.0, 2.0)",0.0,2
"(1, 2.0, 1.0, 0.0)",4.0,2
"(1, 1.0, 2.0, 0.0)",1.0,4
"(1, 1.0, 2.0, 0.0)",2.0,1
"(1, 2.0, 0.0, 4.0)",3.0,1
"(1, 1.0, 1.0, 4.0)",3.0,3
"(1, 1.0, 2.0, 3.0)",4.0,3
"(1, 2.0, 2.0, 0.0)",3.0,1
"(1, 2.0, 3.0, 4.0)",0.0,1
"(1, 2.0, 0.0, 2.0)",2.0,4
"(1, 2.0, 1.0, 4.0)",1.0,3
"(1, 3.0, 0.0, 0.0)",1.0,3
"(1, 3.0, 0.0, 2.0)",4.0,1
"(1, 3.0, 1.0, 7.0)",1.0,4
"(1, 3.0, 1.0, 6.0)",1.0,5
"(1, 3.0, 1.0, 4.0)",0.0,8
"(1, 3.0, 1.0, 2.0)",3.0,22
"(1, 2.0, 0.0, 1.0)",1.0,4
"(1, 1.0, 1.0, 4.0)",4.0,2
"(1, 1.0, 0.0, 0.0)",3.0,1
"(1, 1.0, 1.0, 3.0)",4.0,3
"(1, 1.0, 1.0, 4.0)",0.0,1
"(1, 2.0, 2.0, 6.0)",2.0,3
"(1, 1.0, 2.0, 3.0)",3.0,2
"(1, 2.0, 0.0, 2.0)",1.0,1
"(1, 2.0, 0.0, 3.0)",0.0,5
"(1, 3.0, 0.0, 3.0)",3.0,1
"(1, 1.0, 0.0, 0.0)",4.0,4
"(1, 2.0, 1.0, 6.0)",2.0,1
"(1, 3.0, 2.0, 0.0)",0.0,1
"(1, 1.0, 1.0, 0.0)",2.0,1
"(1, 2.0, 2.0, 6.0)",1.0,3
"(1, 1.0, 0.0, 4.0)",1.0,1
"(1, 1.0, 0.0, 2.0)",4.0,1
"(1, 1.0, 0.0, 2.0)",3.0,2
"(1, 1.0, 0.0, 1.0)",1.0,1
"(1, 3.0, 1.0, 0.0)",2.0,1
"(1, 3.0, 1.0, 4.0)",4.0,3
"(1, 3.0, 1.0, 6.0)",2.0,2
"(1, 3.0, 2.0, 4.0)",2.0,2
"(1, 2.0, 1.0, 0.0)",3.0,1
"(1, 2.0, 3.0, 0.0)",3.0,2
"(1, 2.0, 2.0, 0.0)",4.0,1
"(1, 2.0, 1.0, 4.0)",0.0,3
"(1, 3.0, 2.0, 6.0)",0.0,1
"(1, 3.0, 1.0, 3.0)",4.0,4
"(1, 3.0, 1.0, 7.0)",0.0,3
"(1, 3.0, 0.0, 0.0)",0.0,1
"(1, 3.0, 2.0, 4.0)",4.0,1
"(1, 1.0, 1.0, 0.0)",3.0,2
"(1, 3.0, 1.0, 0.0)",1.0,1
"(1, 3.0, 0.0, 4.0)",2.0,2
"(1, 3.0, 0.0, 4.0)",0.0,2
"(1, 1.0, 0.0, 0.0)",0.0,3
"(1, 2.0, 1.0, 4.0)",2.0,2
"(1, 1.0, 1.0, 0.0)",0.0,2
"(1, 1.0, 0.0, 3.0)",0.0,1
"(1, 1.0, 2.0, 0.0)",3.0,1
"(1, 2.0, 0.0, 0.0)",3.0,1
"(1, 3.0, 0.0, 4.0)",4.0,1
"(1, 3.0, 0.0, 7.0)",0.0,1
"(1, 3.0, 0.0, 1.0)",2.0,1
"(1, 3.0, 3.0, 4.0)",0.0,1
"(1, 1.0, 2.0, 4.0)",1.0,2
"(1, 3.0, 2.0, 0.0)",2.0,1
"(1, 3.0, 2.0, 4.0)",1.0,2
"(1, 3.0, 1.0, 7.0)",4.0,1
"(1, 3.0, 1.0, 7.0)",2.0,4
"(1, 3.0, 1.0, 6.0)",0.0,2
"(1, 3.0, 0.0, 6.0)",3.0,1
"(1, 2.0, 1.0, 0.0)",1.0,1
"(1, 1.0, 0.0, 2.0)",2.0,1
"(1, 2.0, 3.0, 4.0)",2.0,1
"(1, 2.0, 0.0, 1.0)",3.0,2
"(1, 2.0, 0.0, 4.0)",0.0,1
"(1, 1.0, 0.0, 4.0)",0.0,1
"(1, 1.0, 0.0, 1.0)",4.0,1
"(1, 2.0, 0.0, 1.0)",2.0,1
"(1, 3.0, 2.0, 3.0)",3.0,1
"(1, 3.0, 2.0, 7.0)",0.0,1
"(1, 2.0, 2.0, 0.0)",1.0,1
"(1, 2.0, 1.0, 0.0)",0.0,1
"(1, 2.0, 3.0, 0.0)",4.0,1
"(1, 2.0, 0.0, 0.0)",1.0,3
"(1, 3.0, 0.0, 0.0)",2.0,1
"(1, 2.0, 0.0, 6.0)",2.0,1
"(1, 2.0, 0.0, 0.0)",0.0,1
