State,Action,Count
"(1, 1.0, 1.0, 2.0)",1.0,599
"(1, 1.0, 1.0, 2.0)",2.0,26
"(1, 1.0, 1.0, 3.0)",1.0,67
"(1, 1.0, 1.0, 2.0)",4.0,31
"(1, 1.0, 1.0, 2.0)",0.0,32
"(1, 2.0, 1.0, 0.0)",2.0,27
"(1, 2.0, 1.0, 3.0)",3.0,31
"(1, 2.0, 1.0, 4.0)",2.0,14
"(1, 2.0, 1.0, 3.0)",1.0,711
"(1, 2.0, 1.0, 3.0)",2.0,31
"(1, 2.0, 1.0, 2.0)",1.0,955
"(1, 1.0, 1.0, 0.0)",2.0,13
"(1, 1.0, 1.0, 3.0)",4.0,1
"(1, 1.0, 2.0, 4.0)",4.0,1
"(1, 1.0, 2.0, 4.0)",0.0,2
"(1, 2.0, 0.0, 3.0)",2.0,69
"(1, 2.0, 2.0, 3.0)",1.0,264
"(1, 2.0, 1.0, 4.0)",3.0,4
"(1, 2.0, 0.0, 0.0)",2.0,27
"(1, 2.0, 0.0, 3.0)",0.0,5
"(1, 1.0, 1.0, 2.0)",3.0,24
"(1, 1.0, 2.0, 3.0)",0.0,10
"(1, 1.0, 0.0, 2.0)",1.0,32
"(1, 1.0, 0.0, 0.0)",2.0,3
"(1, 2.0, 1.0, 2.0)",3.0,51
"(1, 2.0, 2.0, 0.0)",3.0,14
"(1, 2.0, 2.0, 4.0)",1.0,20
"(1, 2.0, 0.0, 3.0)",1.0,2
"(1, 2.0, 0.0, 3.0)",3.0,5
"(1, 2.0, 1.0, 2.0)",2.0,44
"(1, 2.0, 1.0, 2.0)",0.0,38
"(1, 3.0, 1.0, 2.0)",0.0,49
"(1, 3.0, 1.0, 3.0)",2.0,17
"(1, 3.0, 1.0, 4.0)",1.0,9
"(1, 3.0, 1.0, 3.0)",0.0,22
"(1, 3.0, 1.0, 3.0)",1.0,16
"(1, 2.0, 0.0, 3.0)",4.0,2
"(1, 2.0, 1.0, 2.0)",4.0,39
"(1, 1.0, 0.0, 0.0)",1.0,18
"(1, 1.0, 1.0, 0.0)",1.0,17
"(1, 2.0, 1.0, 3.0)",4.0,33
"(1, 2.0, 2.0, 3.0)",0.0,15
"(1, 3.0, 0.0, 2.0)",0.0,1
"(1, 3.0, 1.0, 2.0)",2.0,38
"(1, 3.0, 1.0, 4.0)",0.0,8
"(1, 3.0, 0.0, 3.0)",1.0,3
"(1, 3.0, 1.0, 3.0)",4.0,3
"(1, 3.0, 1.0, 7.0)",2.0,1
"(1, 3.0, 2.0, 4.0)",0.0,2
