State,Action,Count
"(2.0, 2.0, 3.0)",4.0,22
"(2.0, 2.0, 3.0)",3.0,35
"(2.0, 0.0, 3.0)",0.0,9
"(2.0, 1.0, 2.0)",0.0,183
"(2.0, 0.0, 0.0)",4.0,9
"(2.0, 0.0, 6.0)",1.0,2
"(2.0, 0.0, 3.0)",3.0,5
"(2.0, 0.0, 4.0)",4.0,4
"(2.0, 1.0, 6.0)",2.0,9
"(2.0, 1.0, 3.0)",0.0,86
"(2.0, 0.0, 1.0)",2.0,2
"(2.0, 2.0, 3.0)",1.0,36
"(2.0, 2.0, 3.0)",2.0,36
"(2.0, 2.0, 3.0)",0.0,41
"(3.0, 1.0, 2.0)",4.0,22
"(3.0, 1.0, 2.0)",3.0,36
"(3.0, 1.0, 6.0)",1.0,2
"(2.0, 1.0, 2.0)",1.0,186
"(1.0, 1.0, 3.0)",2.0,23
"(1.0, 1.0, 3.0)",1.0,21
"(2.0, 1.0, 3.0)",4.0,85
"(2.0, 1.0, 2.0)",3.0,213
"(2.0, 1.0, 2.0)",4.0,195
"(1.0, 1.0, 2.0)",3.0,74
"(1.0, 1.0, 2.0)",4.0,77
"(2.0, 1.0, 2.0)",2.0,210
"(2.0, 1.0, 3.0)",2.0,91
"(1.0, 1.0, 0.0)",2.0,7
"(1.0, 2.0, 3.0)",1.0,9
"(2.0, 1.0, 3.0)",1.0,99
"(1.0, 1.0, 2.0)",0.0,92
"(1.0, 2.0, 0.0)",1.0,5
"(2.0, 2.0, 0.0)",3.0,4
"(2.0, 2.0, 4.0)",2.0,2
"(2.0, 1.0, 3.0)",3.0,82
"(2.0, 1.0, 4.0)",4.0,11
"(2.0, 1.0, 6.0)",4.0,19
"(2.0, 2.0, 6.0)",1.0,7
"(1.0, 1.0, 3.0)",4.0,21
"(1.0, 1.0, 2.0)",2.0,80
"(1.0, 1.0, 2.0)",1.0,66
"(2.0, 0.0, 0.0)",0.0,8
"(2.0, 0.0, 2.0)",3.0,3
"(2.0, 1.0, 6.0)",1.0,12
"(3.0, 1.0, 7.0)",0.0,7
"(3.0, 2.0, 3.0)",0.0,4
"(3.0, 0.0, 3.0)",3.0,4
"(3.0, 2.0, 6.0)",1.0,3
"(3.0, 1.0, 3.0)",0.0,10
"(3.0, 1.0, 3.0)",1.0,8
"(3.0, 0.0, 3.0)",0.0,2
"(3.0, 0.0, 3.0)",1.0,2
"(3.0, 2.0, 3.0)",1.0,4
"(2.0, 0.0, 0.0)",1.0,3
"(2.0, 2.0, 6.0)",2.0,4
"(2.0, 1.0, 4.0)",0.0,9
"(1.0, 1.0, 3.0)",3.0,27
"(2.0, 1.0, 0.0)",4.0,6
"(2.0, 1.0, 6.0)",0.0,12
"(2.0, 1.0, 4.0)",1.0,11
"(3.0, 1.0, 2.0)",0.0,23
"(3.0, 2.0, 7.0)",1.0,1
"(3.0, 0.0, 1.0)",2.0,1
"(3.0, 0.0, 1.0)",0.0,1
"(3.0, 0.0, 3.0)",2.0,1
"(3.0, 1.0, 4.0)",2.0,6
"(3.0, 2.0, 4.0)",0.0,1
"(3.0, 2.0, 3.0)",3.0,4
"(3.0, 0.0, 6.0)",0.0,1
"(3.0, 1.0, 3.0)",3.0,13
"(3.0, 1.0, 6.0)",3.0,8
"(3.0, 1.0, 6.0)",0.0,5
"(3.0, 1.0, 3.0)",4.0,7
"(3.0, 1.0, 7.0)",2.0,3
"(1.0, 1.0, 0.0)",0.0,9
"(1.0, 1.0, 0.0)",3.0,1
"(1.0, 1.0, 0.0)",1.0,7
"(2.0, 1.0, 0.0)",2.0,6
"(1.0, 2.0, 3.0)",4.0,11
"(1.0, 2.0, 3.0)",3.0,7
"(1.0, 2.0, 3.0)",2.0,11
"(1.0, 2.0, 3.0)",0.0,17
"(2.0, 0.0, 3.0)",4.0,8
"(2.0, 1.0, 6.0)",3.0,13
"(2.0, 1.0, 0.0)",0.0,6
"(2.0, 3.0, 0.0)",2.0,1
"(2.0, 1.0, 4.0)",3.0,18
"(2.0, 2.0, 4.0)",4.0,7
"(3.0, 1.0, 6.0)",4.0,3
"(2.0, 1.0, 0.0)",1.0,5
"(2.0, 0.0, 2.0)",1.0,6
"(1.0, 2.0, 0.0)",0.0,5
