State,Action,Count
"(1, 1.0, 1.0, 2.0)",1.0,643
"(1, 1.0, 1.0, 3.0)",1.0,44
"(1, 2.0, 1.0, 2.0)",3.0,26
"(1, 2.0, 3.0, 0.0)",1.0,4
"(1, 1.0, 1.0, 0.0)",1.0,28
"(1, 2.0, 1.0, 2.0)",1.0,1101
"(1, 2.0, 1.0, 3.0)",1.0,874
"(1, 2.0, 1.0, 3.0)",4.0,21
"(1, 2.0, 2.0, 3.0)",2.0,11
"(1, 2.0, 2.0, 3.0)",1.0,289
"(1, 1.0, 0.0, 2.0)",1.0,31
"(1, 2.0, 2.0, 0.0)",3.0,8
"(1, 2.0, 2.0, 4.0)",1.0,8
"(1, 2.0, 0.0, 3.0)",2.0,115
"(1, 2.0, 0.0, 2.0)",1.0,3
"(1, 2.0, 2.0, 6.0)",1.0,1
"(1, 1.0, 1.0, 0.0)",0.0,2
"(1, 1.0, 1.0, 2.0)",2.0,15
"(1, 2.0, 1.0, 3.0)",0.0,16
"(1, 1.0, 0.0, 0.0)",2.0,19
"(1, 1.0, 2.0, 3.0)",1.0,12
"(1, 1.0, 1.0, 2.0)",0.0,15
"(1, 1.0, 0.0, 3.0)",1.0,12
"(1, 2.0, 2.0, 3.0)",0.0,8
"(1, 1.0, 2.0, 3.0)",0.0,7
"(1, 2.0, 0.0, 0.0)",2.0,29
"(1, 2.0, 2.0, 3.0)",4.0,10
"(1, 2.0, 2.0, 6.0)",0.0,3
"(1, 1.0, 2.0, 3.0)",2.0,1
"(1, 2.0, 1.0, 2.0)",2.0,22
"(1, 1.0, 1.0, 2.0)",3.0,13
"(1, 3.0, 0.0, 0.0)",1.0,2
"(1, 3.0, 1.0, 3.0)",2.0,10
"(1, 3.0, 1.0, 2.0)",2.0,57
"(1, 3.0, 1.0, 2.0)",1.0,60
"(1, 3.0, 1.0, 2.0)",0.0,63
"(1, 3.0, 1.0, 3.0)",3.0,1
"(1, 3.0, 1.0, 6.0)",0.0,1
"(1, 3.0, 1.0, 3.0)",1.0,12
"(1, 3.0, 2.0, 3.0)",1.0,7
"(1, 3.0, 2.0, 3.0)",0.0,5
"(1, 2.0, 1.0, 0.0)",2.0,23
"(1, 1.0, 0.0, 0.0)",4.0,2
"(1, 1.0, 0.0, 4.0)",3.0,2
"(1, 2.0, 1.0, 4.0)",0.0,6
"(1, 2.0, 1.0, 3.0)",2.0,16
"(1, 2.0, 1.0, 3.0)",3.0,18
"(1, 3.0, 1.0, 4.0)",2.0,11
"(1, 1.0, 2.0, 0.0)",0.0,11
"(1, 1.0, 0.0, 1.0)",3.0,4
"(1, 2.0, 2.0, 3.0)",3.0,6
"(1, 2.0, 0.0, 1.0)",1.0,5
"(1, 2.0, 1.0, 4.0)",2.0,3
"(1, 2.0, 1.0, 2.0)",0.0,20
"(1, 1.0, 0.0, 3.0)",0.0,1
"(1, 2.0, 1.0, 2.0)",4.0,24
"(1, 2.0, 1.0, 4.0)",1.0,5
"(1, 1.0, 2.0, 0.0)",1.0,7
"(1, 1.0, 1.0, 2.0)",4.0,10
"(1, 1.0, 1.0, 4.0)",1.0,2
"(1, 3.0, 2.0, 0.0)",1.0,1
"(1, 3.0, 2.0, 3.0)",2.0,7
"(1, 3.0, 0.0, 4.0)",0.0,3
"(1, 3.0, 1.0, 2.0)",3.0,4
"(1, 2.0, 0.0, 2.0)",3.0,6
"(1, 2.0, 0.0, 2.0)",0.0,3
"(1, 2.0, 0.0, 2.0)",2.0,5
"(1, 2.0, 0.0, 1.0)",0.0,4
"(1, 2.0, 0.0, 1.0)",3.0,2
"(1, 2.0, 0.0, 6.0)",3.0,1
"(1, 3.0, 1.0, 0.0)",1.0,3
"(1, 3.0, 0.0, 3.0)",2.0,3
"(1, 3.0, 0.0, 4.0)",1.0,3
"(1, 3.0, 0.0, 3.0)",0.0,4
"(1, 3.0, 0.0, 1.0)",2.0,5
"(1, 3.0, 0.0, 1.0)",1.0,1
"(1, 3.0, 0.0, 3.0)",1.0,4
"(1, 3.0, 1.0, 3.0)",0.0,11
"(1, 1.0, 2.0, 3.0)",3.0,1
"(1, 3.0, 1.0, 0.0)",2.0,4
"(1, 2.0, 1.0, 6.0)",0.0,6
"(1, 3.0, 1.0, 2.0)",4.0,2
"(1, 2.0, 0.0, 6.0)",1.0,1
"(1, 2.0, 1.0, 0.0)",3.0,1
"(1, 2.0, 2.0, 0.0)",2.0,2
"(1, 3.0, 0.0, 0.0)",0.0,1
"(1, 2.0, 1.0, 0.0)",1.0,1
"(1, 1.0, 0.0, 2.0)",3.0,1
"(1, 3.0, 0.0, 4.0)",2.0,4
"(1, 1.0, 3.0, 0.0)",0.0,1
"(1, 2.0, 2.0, 6.0)",3.0,2
"(1, 2.0, 1.0, 4.0)",3.0,4
"(1, 3.0, 1.0, 4.0)",1.0,4
"(1, 3.0, 2.0, 4.0)",0.0,3
"(1, 3.0, 1.0, 3.0)",4.0,1
"(1, 3.0, 1.0, 7.0)",2.0,1
"(1, 1.0, 0.0, 0.0)",3.0,1
"(1, 3.0, 1.0, 4.0)",0.0,4
"(1, 2.0, 3.0, 3.0)",4.0,1
"(1, 2.0, 3.0, 6.0)",0.0,1
"(1, 3.0, 2.0, 4.0)",2.0,6
"(1, 3.0, 0.0, 1.0)",0.0,1
"(1, 3.0, 2.0, 4.0)",1.0,1
"(1, 3.0, 0.0, 2.0)",1.0,2
"(1, 3.0, 0.0, 2.0)",2.0,2
"(1, 3.0, 0.0, 0.0)",2.0,1
"(1, 3.0, 1.0, 0.0)",0.0,1
"(1, 2.0, 0.0, 4.0)",1.0,2
"(1, 2.0, 0.0, 3.0)",4.0,2
"(1, 2.0, 0.0, 3.0)",1.0,2
"(1, 2.0, 0.0, 1.0)",2.0,1
"(1, 2.0, 3.0, 3.0)",1.0,1
"(1, 2.0, 0.0, 4.0)",3.0,1
"(1, 2.0, 0.0, 2.0)",4.0,1
"(1, 2.0, 2.0, 0.0)",0.0,1
"(1, 2.0, 0.0, 0.0)",3.0,1
"(1, 2.0, 0.0, 3.0)",0.0,1
"(1, 2.0, 1.0, 6.0)",3.0,1
"(1, 2.0, 0.0, 0.0)",0.0,1
